game_id,date,season,week,league,away,home,def_solo,def_tot,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,rush_att,rush_lg,rush_td,rush_yds,score_pts,score_r,score_tot
FOOTBALL_CFL_2016_10_10_CGY@TOR,2016-10-10,2016,1,CFL,CGY,TOR,,,,,,,,,,,2.0,2.0,,2.0,,,
FOOTBALL_CFL_2016_10_15_SSK@TOR,2016-10-15,2016,1,CFL,SSK,TOR,,,16.0,11.0,1.0,23.0,,,1.0,107.0,3.0,6.0,,8.0,,,
FOOTBALL_CFL_2016_10_21_TOR@CGY,2016-10-21,2016,1,CFL,TOR,CGY,,,,,,,,,,,1.0,,,,,,
FOOTBALL_CFL_2016_10_2_TOR@MTL,2016-10-02,2016,1,CFL,TOR,MTL,,,,,,,,,,,5.0,8.0,,14.0,,,
FOOTBALL_CFL_2016_11_5_TOR@EDM,2016-11-05,2016,1,CFL,TOR,EDM,,,,,,,,,,,1.0,1.0,,1.0,,,
FOOTBALL_CFL_2016_8_31_BC@TOR,2016-08-31,2016,1,CFL,BC,TOR,,,,,,,,,,,4.0,2.0,,6.0,,,
FOOTBALL_CFL_2016_9_11_HAM@TOR,2016-09-11,2016,1,CFL,HAM,TOR,1.0,1.0,36.0,27.0,2.0,45.0,6.0,3.0,1.0,329.0,10.0,14.0,,39.0,,,
FOOTBALL_CFL_2016_9_17_TOR@WPG,2016-09-17,2016,1,CFL,TOR,WPG,,,34.0,22.0,2.0,,13.0,2.0,4.0,271.0,10.0,13.0,,57.0,,,
FOOTBALL_CFL_2016_9_23_TOR@OTT,2016-09-23,2016,1,CFL,TOR,OTT,,,19.0,13.0,1.0,14.0,,,,72.0,3.0,13.0,,25.0,,,
FOOTBALL_CFL_2016_9_5_TOR@HAM,2016-09-05,2016,1,CFL,TOR,HAM,,,,,,,,,,,2.0,2.0,,3.0,,,
FOOTBALL_CFL_2017_10_14_BC@WPG,2017-10-14,2017,1,CFL,BC,WPG,,,,,,,,,,,3.0,7.0,,9.0,,,
FOOTBALL_CFL_2017_10_21_WPG@TOR,2017-10-21,2017,1,CFL,WPG,TOR,,,,,,,,,,,2.0,,2.0,2.0,12.0,2.0,2.0
FOOTBALL_CFL_2017_10_28_BC@WPG,2017-10-28,2017,1,CFL,BC,WPG,,,12.0,5.0,2.0,15.0,,,,42.0,2.0,7.0,,8.0,,,
FOOTBALL_CFL_2017_10_6_HAM@WPG,2017-10-06,2017,1,CFL,HAM,WPG,,,,,,,,,,,1.0,6.0,,6.0,,,
FOOTBALL_CFL_2017_11_12_EDM@WPG,2017-11-12,2017,1,CFL,EDM,WPG,,,1.0,1.0,,6.0,5.0,1.0,,6.0,5.0,8.0,,20.0,,,
FOOTBALL_CFL_2017_11_3_WPG@CGY,2017-11-03,2017,1,CFL,WPG,CGY,,,17.0,13.0,,13.0,17.0,1.0,,91.0,5.0,11.0,,27.0,,,
FOOTBALL_CFL_2017_7_13_TOR@WPG,2017-07-13,2017,1,CFL,TOR,WPG,,,1.0,1.0,,17.0,,,,17.0,4.0,3.0,,8.0,,,
FOOTBALL_CFL_2017_7_1_WPG@SSK,2017-07-01,2017,1,CFL,WPG,SSK,,,1.0,1.0,,3.0,,,,3.0,1.0,1.0,,1.0,,,
FOOTBALL_CFL_2017_7_21_WPG@BC,2017-07-21,2017,1,CFL,WPG,BC,,,1.0,1.0,,18.0,,,,18.0,2.0,3.0,1.0,4.0,6.0,1.0,1.0
FOOTBALL_CFL_2017_7_27_MTL@WPG,2017-07-27,2017,1,CFL,MTL,WPG,,,,,,,,,,,3.0,,1.0,17.0,6.0,1.0,1.0
FOOTBALL_CFL_2017_7_7_CGY@WPG,2017-07-07,2017,1,CFL,CGY,WPG,,,,,,,,,,,2.0,1.0,,2.0,,,
FOOTBALL_CFL_2017_8_12_WPG@HAM,2017-08-12,2017,1,CFL,WPG,HAM,,,,,,,,,,,4.0,7.0,,14.0,,,
FOOTBALL_CFL_2017_8_17_EDM@WPG,2017-08-17,2017,1,CFL,EDM,WPG,,,,,,,1.0,1.0,,,3.0,2.0,1.0,5.0,6.0,1.0,1.0
FOOTBALL_CFL_2017_8_24_WPG@MTL,2017-08-24,2017,1,CFL,WPG,MTL,,,,,,,,,,,3.0,6.0,,7.0,,,
FOOTBALL_CFL_2017_8_4_WPG@OTT,2017-08-04,2017,1,CFL,WPG,OTT,,,1.0,,,,,,,,2.0,3.0,,5.0,,,
FOOTBALL_CFL_2017_9_22_OTT@WPG,2017-09-22,2017,1,CFL,OTT,WPG,,,1.0,,,,,,,,3.0,10.0,,15.0,,,
FOOTBALL_CFL_2017_9_30_WPG@EDM,2017-09-30,2017,1,CFL,WPG,EDM,,,,,,,,,,,2.0,2.0,,3.0,,,
FOOTBALL_CFL_2017_9_9_SSK@WPG,2017-09-09,2017,1,CFL,SSK,WPG,,,,,,,,,,,4.0,4.0,1.0,9.0,6.0,1.0,1.0
