game_id,date,season,week,league,away,home,receiving_yards,receptions,rushing_tds,rushing_yards,tackles
SYNTHETIC_USFL_2022_W10_MICH,,2022,10,USFL,,,,,0.0,3.0,
FOOTBALL_XFL_2023_2_18_VGS@ARL,2023-02-18,2023,1,XFL,VGS,ARL,2.0,2.0,,16.0,
FOOTBALL_XFL_2023_2_25_DC@VGS,2023-02-25,2023,2,XFL,VIPERS,DEFENDERS,,,1.0,5.0,
FOOTBALL_XFL_2023_3_4_SEA@VGS,2023-03-04,2023,3,XFL,VIPERS,SEA DRAGONS,,,,5.0,
FOOTBALL_XFL_2023_3_12_VGS@DC,2023-03-12,2023,4,XFL,DEFENDERS,VIPERS,7.0,1.0,,3.0,1.0
FOOTBALL_XFL_2023_3_18_ORL@VGS,2023-03-18,2023,5,XFL,ORL,VGS,9.0,1.0,,29.0,
FOOTBALL_XFL_2023_3_25_STL@VGS,2023-03-25,2023,6,XFL,STL,VGS,18.0,2.0,,,
