game_id,date,season,week,league,away,home,def_solo,def_tot,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,score_p,score_pts,score_tot
FOOTBALL_CFL_2019_10_26_HAM@MTL,2019-10-26,2019,1,CFL,HAM,MTL,,,,,,3.0,1.0,1.0,,,3.0,23.0,2.0,45.0,,,
FOOTBALL_CFL_2019_11_10_EDM@MTL,2019-11-10,2019,1,CFL,EDM,MTL,1.0,1.0,,,,19.0,5.0,8.0,,6.0,60.0,,,,,,
FOOTBALL_CFL_2019_11_1_MTL@OTT,2019-11-01,2019,1,CFL,MTL,OTT,,,,,,27.0,7.0,8.0,1.0,12.0,81.0,,,,1.0,6.0,1.0
FOOTBALL_CFL_2021_10_22_TOR@MTL,2021-10-22,2021,1,CFL,TOR,MTL,,,,,,,,,,,,16.0,2.0,20.0,,,
FOOTBALL_CFL_2021_11_19_OTT@MTL,2021-11-19,2021,1,CFL,OTT,MTL,,,,,,23.0,3.0,4.0,,12.0,44.0,,,,,,
FOOTBALL_CFL_2021_11_6_MTL@WPG,2021-11-06,2021,1,CFL,MTL,WPG,,,,,,,,,,,,6.0,3.0,14.0,,,
FOOTBALL_CFL_2021_9_18_BC@MTL,2021-09-18,2021,1,CFL,BC,MTL,1.0,1.0,,,,40.0,2.0,5.0,,6.0,46.0,,,,,,
FOOTBALL_CFL_2021_9_3_MTL@OTT,2021-09-03,2021,1,CFL,MTL,OTT,,,,,,,,1.0,,,,,,,,,
FOOTBALL_CFL_2022_6_23_SSK@MTL,2022-06-23,2022,1,CFL,SSK,MTL,,,,,,5.0,1.0,3.0,,5.0,5.0,,,,,,
SYNTHETIC_CFL_2022_W3_MTL,,2022,3,CFL,,,,,0.0,5.0,1.0,,,,,,,,,,,,
