game_id,date,season,week,league,away,home,fielding_catches,fielding_runouts,match_played
cricket-t20i-2021-05-22-1263710,2021-05-22,2021,1,T20I,Austria,Czech Republic,,1.0,1.0
cricket-t20i-2021-05-23-1263712,2021-05-23,2021,1,T20I,Austria,Luxembourg,1.0,,1.0
