game_id,date,season,week,league,away,home,1pt_conversion,conversions,lost_fumbles,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
FOOTBALL_XFL_2023_3_11_HOU@ORL,2023-03-11,2023,4,XFL,GUARDIANS,ROUGHNECKS,,,,,17.0,2.0,,40.0
SYNTHETIC_XFL_2023_W5_GUARDIANS,2023-03-18,2023,5,XFL,VIPERS,GUARDIANS,1.0,,,,,,1.0,17.0
FOOTBALL_XFL_2023_3_25_SEA@ORL,2023-03-25,2023,6,XFL,SEA,ORL,,,1.0,,13.0,1.0,2.0,82.0
SYNTHETIC_XFL_2023_W6_GUARDIANS,2023-03-25,2023,6,XFL,GUARDIANS,SEA DRAGONS,1.0,0.0,,,,,,
FOOTBALL_XFL_2023_4_1_DC@ORL,2023-04-01,2023,7,XFL,DC,ORL,,,,,16.0,1.0,,17.0
SYNTHETIC_XFL_2023_W7_GUARDIANS,2023-04-01,2023,7,XFL,GUARDIANS,DEFENDERS,0.0,0.0,,,,,,
FOOTBALL_XFL_2023_4_8_ARL@ORL,2023-04-08,2023,8,XFL,ARL,ORL,,,,,9.0,1.0,,5.0
FOOTBALL_XFL_2023_4_15_ORL@SA,2023-04-15,2023,9,XFL,ORL,SA,,,,,1.0,1.0,1.0,133.0
FOOTBALL_XFL_2023_4_22_ORL@STL,2023-04-22,2023,10,XFL,ORL,STL,,,,,29.0,3.0,,0.0
25,2024-05-11,2024,7,UFL,RENEGADES,SHOWBOATS,,,,,,,0.0,6.0
32,2024-05-19,2024,8,UFL,BRAHMAS,RENEGADES,,,,0.0,-5.0,1.0,0.0,1.0
33,2024-05-25,2024,9,UFL,RENEGADES,BATTLEHAWKS,,,,,,,0.0,41.0
39,2024-06-02,2024,10,UFL,DEFENDERS,RENEGADES,,1.0,,,,,0.0,26.0
