game_id,date,season,week,league,away,home,gp,kr_no,kr_yds,pr_no,pr_yds,recv_rec,recv_td,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,8.0,5.0,143.0,,,35.0,1.0,347.0,3.0,15.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,12.0,5.0,102.0,2.0,13.0,29.0,1.0,321.0,17.0,67.0
