game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_yds,pass_att,pass_cmp,pass_td,pass_yds,pr_no,pr_yds,recv_rec,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,4.0,5.0,,,,,,,,,5.0,50.0,1.0,,7.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,8.0,1.0,14.0,11.0,7.0,1.0,112.0,2.0,32.0,2.0,27.0,17.0,1.0,27.0
