game_id,date,season,week,league,away,home,conversions,def_solo,def_tot,interceptions,interceptions_lost,lost_fumbles,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_yds,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rush_att,rush_lg,rush_yds,rushing_tds,rushing_yards
SALINA-CORPUS,,,1,,,,,,,0.0,,,,,,,,,,3.0,169.0,,,,,,,3.0,29.0
SWKANSAS-NASHVILLE-0425,0425,,7,,SWKANSAS,NASHVILLE,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0
FOOTBALL_CFL_2022_8_26_HAM@TOR,2022-08-26,2022,1,CFL,HAM,TOR,,,,,,,,,,,1.0,1.0,,,,,,,3.0,9.0,11.0,,
FOOTBALL_CFL_2022_9_5_TOR@HAM,2022-09-05,2022,1,CFL,TOR,HAM,,1.0,1.0,,,,6.0,2.0,1.0,9.0,,,13.0,,,,,,2.0,3.0,3.0,,
SYNTHETIC_USFL_2023_W3_STALLIONS,2023-04-29,2023,3,USFL,STALLIONS,BREAKERS,,,,,,,,,,,,,,,,,,,,,,0.0,5.0
SWKANSAS-NASHVILLE,2025-03-08,2025,0,AF1,NASHVILLE,SW KANSAS,,,,0.0,,,,,,,,,,3.0,169.0,,,,,,,1.0,48.0
STORM-FIREBIRDS,2025-03-21,2025,2,AF1,SW KANSAS,ALBANY,,,,3.0,,,,,,,,,,0.0,95.0,,,,,,,2.0,88.0
STORM-LIGHTNING-0330,2025-03-30,2025,3,AF1,OREGON,SW KANSAS,,,,2.0,,,,,,,,,,4.0,227.0,,,,,,,1.0,33.0
SWKANSAS-OREGON-0412,2025-04-12,2025,5,AF1,SW KANSAS,SALINA,,,,2.0,2.0,,,,,,,,,4.0,438.0,,,,,,,0.0,46.0
CORPUSCHRISTI-SWKANSAS-0419,2025-04-19,2025,6,AF1,SW KANSAS,CORPUS CHRISTI,,,,,2.0,,,,,,,,,6.0,264.0,,,,,,,,23.0
SWKANSAS-NASHVILLE-0426,2025-04-26,2025,7,AF1,NASHVILLE,SW KANSAS,,,,2.0,,,,,,,,,,3.0,115.0,,,,,,,,
SWKANSAS-BILLINGS-0503,2025-05-03,2025,8,AF1,BILLINGS,SW KANSAS,,,,,1.0,,,,,,,,,1.0,97.0,,,,,,,3.0,32.0
SWKANSAS-BILLINGS-0517,2025-05-17,2025,10,AF1,BILLINGS,SW KANSAS,,,,,,,,,,,,,,6.0,272.0,,,,,,,1.0,14.0
WASHINGTON-SWKANSAS-05-25,2025-05-25,2025,11,AF1,SW KANSAS,WASHINGTON,,,,0.0,,,,,,,,,,5.0,135.0,,,,,,,0.0,73.0
SALINA-KANSAS-0607,2025-06-07,2025,13,AF1,SW KANSAS,SALINA,,,,1.0,,,,,,,,,,4.0,316.0,0.0,7.0,1.0,,,,2.0,26.0
SWKANSAS-SALINA-0615,2025-06-15,2025,14,AF1,SALINA,SW KANSAS,,,,2.0,,,,,,,,,,3.0,236.0,,,,,,,3.0,57.0
SWKANSAS-NASHVILLE-0622,2025-06-22,2025,15,AF1,NASHVILLE,SW KANSAS,,,,0.0,,,,,,,,,,6.0,296.0,,,,,,,,
91,2026-04-03,2026,2,UFL,DC DEFENDERS,COLUMBUS AVIATORS,,,,,1.0,,,,,,,,,0.0,0.0,,,,,,,0.0,-3.0
97,2026-04-12,2026,3,UFL,COLUMBUS AVIATORS,DALLAS RENEGADES,,,,,,,,,,,,,,,,,,,,,,0.0,4.0
105,2026-04-26,2026,5,UFL,COLUMBUS AVIATORS,HOUSTON GAMBLERS,,,,,0.0,,,,,,,,,0.0,-1.0,,,,,,,,
108,2026-05-01,2026,6,UFL,HOUSTON GAMBLERS,COLUMBUS AVIATORS,,,,,0.0,,,,,,,,,0.0,1.0,,,,,,,0.0,2.0
111,2026-05-08,2026,7,UFL,COLUMBUS AVIATORS,ST. LOUIS BATTLEHAWKS,,,,,,,,,,,,,,,,,,,,,,1.0,15.0
118,2026-05-17,2026,8,UFL,COLUMBUS AVIATORS,BIRMINGHAM STALLIONS,,,,,,,,,,,,,,,,,,,,,,0.0,11.0
120,2026-05-23,2026,9,UFL,BIRMINGHAM STALLIONS,COLUMBUS AVIATORS,1.0,,,,1.0,1.0,,,,,,,,3.0,213.0,,,,,,,1.0,97.0
