game_id,date,season,week,league,away,home,interceptions_made,receiving_tds,receiving_yards,receptions,sacks,tackles
SYNTHETIC_CFL_W1_SSK,,,1,CFL,,,,0.0,7.0,1.0,,
SYNTHETIC_CFL_W10_SSK,,,10,CFL,,,,0.0,6.0,1.0,,
SYNTHETIC_CFL_W18_SSK,,,18,CFL,,,,0.0,25.0,2.0,,
SYNTHETIC_CFL_2023_W5_SSK,,2023,5,CFL,,,,0.0,0.0,0.0,,
SYNTHETIC_CFL_2023_W7_SSK,,2023,7,CFL,,,,0.0,17.0,2.0,,
SYNTHETIC_CFL_2023_W8_SSK,,2023,8,CFL,,,,0.0,7.0,1.0,,
SYNTHETIC_CFL_2023_W15_SSK,,2023,15,CFL,,,0.0,,,,0.0,0.0
SYNTHETIC_CFL_2024_W7_TOR,,2024,7,CFL,,,,0.0,5.0,1.0,,
SYNTHETIC_CFL_2024_W18_TOR,,2024,18,CFL,,,,0.0,1.0,1.0,,
SYNTHETIC_CFL_2025_W8_SSK,,2025,8,CFL,,,,0.0,6.0,1.0,,
