game_id,date,season,week,league,away,home,interceptions_made,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
SYNTHETIC_CFL_W1_WPG,,,1,CFL,,,,0.0,37.0,4.0,,,,
SYNTHETIC_CFL_W3_WPG,,,3,CFL,,,,0.0,58.0,5.0,0.0,24.0,,
SYNTHETIC_CFL_W4_WPG,,,4,CFL,,,,0.0,18.0,3.0,,,,
SYNTHETIC_CFL_W5_WPG,,,5,CFL,,,,0.0,17.0,1.0,,,,
SYNTHETIC_CFL_W6_WPG,2022-07-15,,6,CFL,CGY,WPG,,0.0,5.0,2.0,0.0,3.0,,
SYNTHETIC_CFL_W7_WPG,2022-07-22,,7,CFL,WPG,EDM,,1.0,37.0,2.0,,,,
SYNTHETIC_CFL_W8_WPG,2022-07-30,,8,CFL,WPG,CGY,,0.0,55.0,5.0,,,,
SYNTHETIC_CFL_W9_WPG,2022-08-04,,9,CFL,WPG,MTL,,1.0,21.0,2.0,0.0,13.0,,
SYNTHETIC_CFL_W10_WPG,2022-08-11,,10,CFL,MTL,WPG,,0.0,38.0,5.0,,,,
SYNTHETIC_CFL_W13_WPG,2022-09-04,,13,CFL,WPG,SSK,,0.0,21.0,2.0,,,,
SYNTHETIC_CFL_W15_WPG,2022-09-17,,15,CFL,WPG,HAM,,1.0,65.0,5.0,0.0,19.0,,
SYNTHETIC_CFL_W17_WPG,2022-09-30,,17,CFL,SSK,WPG,,1.0,41.0,2.0,0.0,0.0,,
SYNTHETIC_CFL_W18_WPG,2022-10-08,,18,CFL,EDM,WPG,,,,,0.0,0.0,,
SYNTHETIC_CFL_W19_WPG,2022-10-15,,19,CFL,WPG,BC,,2.0,121.0,11.0,,,,
SYNTHETIC_CFL_W21_WPG,2022-10-28,,21,CFL,BC,WPG,,,,,0.0,6.0,,
SYNTHETIC_CFL_2023_W1_WPG,2023-06-09,2023,1,CFL,HAM,WPG,,1.0,26.0,4.0,0.0,24.0,,1.0
SYNTHETIC_CFL_2023_W2_WPG,2023-06-16,2023,2,CFL,WPG,SSK,,0.0,3.0,1.0,,,,10.0
SYNTHETIC_CFL_2023_W3_WPG,2023-06-22,2023,3,CFL,BC,WPG,,0.0,18.0,2.0,0.0,4.0,,
SYNTHETIC_CFL_2023_W4_WPG,2023-07-01,2023,4,CFL,WPG,MTL,,0.0,7.0,1.0,0.0,12.0,,
SYNTHETIC_CFL_2023_W5_WPG,2023-07-07,2023,5,CFL,CGY,WPG,,1.0,40.0,4.0,0.0,4.0,,
SYNTHETIC_CFL_2023_W6_WPG,2023-07-15,2023,6,CFL,WPG,OTT,,0.0,26.0,5.0,,,,
SYNTHETIC_CFL_2023_W7_WPG,2023-07-20,2023,7,CFL,EDM,WPG,,1.0,23.0,3.0,,,,
SYNTHETIC_CFL_2023_W9_WPG,2023-08-03,2023,9,CFL,BC,WPG,,1.0,57.0,1.0,0.0,4.0,,
SYNTHETIC_CFL_2023_W10_WPG,2023-08-10,2023,10,CFL,WPG,EDM,,0.0,85.0,5.0,0.0,1.0,,
SYNTHETIC_CFL_2023_W11_WPG,2023-08-18,2023,11,CFL,WPG,CGY,,0.0,19.0,3.0,0.0,18.0,,
SYNTHETIC_CFL_2023_W12_WPG,2023-08-24,2023,12,CFL,MTL,WPG,,0.0,25.0,2.0,,,,
SYNTHETIC_CFL_2023_W13_WPG,2023-09-03,2023,13,CFL,WPG,SSK,,0.0,-1.0,1.0,,,,
SYNTHETIC_CFL_2023_W14_WPG,2023-09-09,2023,14,CFL,SSK,WPG,,0.0,29.0,3.0,0.0,7.0,,
SYNTHETIC_CFL_2023_W15_WPG,2023-09-16,2023,15,CFL,WPG,HAM,,0.0,35.0,3.0,0.0,23.0,,
SYNTHETIC_CFL_2023_W17_WPG,2023-09-29,2023,17,CFL,TOR,WPG,,0.0,20.0,2.0,,,,
SYNTHETIC_CFL_2023_W18_WPG,2023-10-06,2023,18,CFL,WPG,BC,,0.0,48.0,2.0,,,,
SYNTHETIC_CFL_2023_W20_WPG,2023-10-21,2023,20,CFL,EDM,WPG,,2.0,24.0,3.0,,,,
SYNTHETIC_CFL_2023_W21_WPG,2023-10-27,2023,21,CFL,WPG,CGY,0.0,1.0,81.0,2.0,,,0.0,1.0
SYNTHETIC_CFL_2024_W1_TOR,2024-06-09,2024,1,CFL,BC,TOR,,1.0,50.0,5.0,,,,1.0
SYNTHETIC_CFL_2024_W3_TOR,2024-06-22,2024,3,CFL,EDM,TOR,,1.0,21.0,1.0,,,,
SYNTHETIC_CFL_2024_W4_TOR,2024-06-28,2024,4,CFL,MTL,TOR,,0.0,39.0,3.0,,,,
SYNTHETIC_CFL_2024_W5_TOR,2024-07-04,2024,5,CFL,TOR,SSK,,0.0,66.0,7.0,,,,
SYNTHETIC_CFL_2024_W6_TOR,2024-07-11,2024,6,CFL,TOR,MTL,,0.0,28.0,4.0,,,,
SYNTHETIC_CFL_2024_W7_TOR,2024-07-20,2024,7,CFL,TOR,HAM,,0.0,41.0,4.0,,,,
