game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_yds,pass_att,pr_no,pr_yds,recv_rec,recv_td,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,2.0,4.0,5.0,114.0,,8.0,137.0,10.0,2.0,102.0,2.0,10.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,9.0,32.0,879.0,2.0,4.0,35.0,101.0,12.0,1147.0,3.0,39.0
