game_id,date,season,week,league,away,home,def_int,def_pd,def_sacks,def_tackles,gp
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,1.0,4.0,23.0,12.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,1.0,1.0,4.5,24.0,12.0
