game_id,date,season,week,league,away,home,def_ff,def_tackles,gp,kr_no,kr_td,kr_yds,pass_att,pass_cmp,pass_yds,pr_no,pr_yds,recv_rec,recv_td,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,2.0,10.0,30.0,1.0,969.0,1.0,1.0,9.0,14.0,266.0,74.0,8.0,1038.0,6.0,21.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,,12.0,1.0,,24.0,,,,12.0,236.0,66.0,7.0,963.0,9.0,91.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,4.0,8.0,2.0,,68.0,,,,12.0,181.0,65.0,3.0,823.0,8.0,58.0
