game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,sh_goals,sog,to
NLL_2021_SEASON_TOTAL,,,1,,,,5.0,,,17.0,,,14.0,,5.0,,,
NLL_2022_SEASON_TOTAL,,,1,,,,7.0,,,17.0,4.0,,20.0,,11.0,1.0,,
NLL_2023_SEASON_TOTAL,,,1,,,,3.0,,,18.0,1.0,,4.0,,4.0,,,
703328545,2025-10-29,2025,1,NLL,SAN DIEGO,OTTAWA,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0
