game_id,date,season,week,league,away,home,assists,blocks,def_rebounds,fg3a,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,minutes,off_rebounds,plus_minus,points,rebounds,steals,turnovers
WNBA_202305200SEA,2023-05-20,2023,1,WNBA,LVA,SEA,,,,,,,,,,,,3.1333333333333333,1.0,-10.0,,1.0,,
WNBA_202306060SEA,2023-06-06,2023,1,WNBA,LAS,SEA,1.0,,3.0,,1.0,1.0,1.0,3.0,0.5,2.0,1.0,10.55,,2.0,3.0,3.0,,
WNBA_202306090SEA,2023-06-09,2023,1,WNBA,WAS,SEA,,,,,,,,1.0,,,,3.0833333333333335,,,,,,
WNBA_202306130PHO,2023-06-13,2023,1,WNBA,SEA,PHO,,,,,,1.0,,,,,,2.033333333333333,2.0,-6.0,,2.0,,1.0
WNBA_202306150LVA,2023-06-15,2023,1,WNBA,SEA,LVA,,,1.0,,,1.0,,3.0,,,,10.516666666666667,1.0,-20.0,,2.0,,1.0
WNBA_202306170DAL,2023-06-17,2023,1,WNBA,SEA,DAL,,,,,,,,1.0,1.0,2.0,2.0,2.05,,-1.0,2.0,,,
WNBA_202306240SEA,2023-06-24,2023,1,WNBA,PHO,SEA,,,,,0.5,2.0,1.0,4.0,1.0,2.0,2.0,4.066666666666666,1.0,3.0,4.0,1.0,,2.0
WNBA_202306290SEA,2023-06-29,2023,1,WNBA,MIN,SEA,,2.0,7.0,,0.571,7.0,4.0,3.0,,,,26.85,2.0,9.0,8.0,9.0,2.0,1.0
WNBA_202307020SEA,2023-07-02,2023,1,WNBA,NYL,SEA,1.0,,3.0,,0.333,3.0,1.0,3.0,0.75,4.0,3.0,16.616666666666667,2.0,7.0,5.0,5.0,1.0,1.0
WNBA_202307060CON,2023-07-06,2023,1,WNBA,SEA,CON,,,1.0,,0.571,7.0,4.0,3.0,,,,17.45,1.0,7.0,8.0,2.0,,2.0
WNBA_202307080NYL,2023-07-08,2023,1,WNBA,SEA,NYL,1.0,2.0,9.0,,0.714,7.0,5.0,3.0,0.5,4.0,2.0,37.333333333333336,5.0,-4.0,12.0,14.0,1.0,1.0
WNBA_202307110WAS,2023-07-11,2023,1,WNBA,SEA,WAS,,1.0,6.0,,0.667,9.0,6.0,2.0,,,,31.216666666666665,5.0,-11.0,12.0,11.0,1.0,2.0
WNBA_202307120ATL,2023-07-12,2023,1,WNBA,SEA,ATL,,,4.0,,0.545,11.0,6.0,5.0,0.2,5.0,1.0,21.433333333333334,2.0,6.0,13.0,6.0,,1.0
WNBA_202307200SEA,2023-07-20,2023,1,WNBA,LVA,SEA,,1.0,1.0,1.0,,1.0,,4.0,,4.0,,16.016666666666666,1.0,-11.0,,2.0,1.0,3.0
WNBA_202307220SEA,2023-07-22,2023,1,WNBA,CHI,SEA,,,2.0,,,5.0,,2.0,,,,8.966666666666667,1.0,-12.0,,3.0,,
WNBA_202307250NYL,2023-07-25,2023,1,WNBA,SEA,NYL,,,4.0,,0.75,4.0,3.0,4.0,,,,14.966666666666667,,11.0,6.0,4.0,1.0,
WNBA_202307280CHI,2023-07-28,2023,1,WNBA,SEA,CHI,1.0,,4.0,,0.4,5.0,2.0,1.0,,,,14.9,2.0,14.0,4.0,6.0,,2.0
WNBA_202307300IND,2023-07-30,2023,1,WNBA,SEA,IND,,,1.0,,,,,3.0,,,,12.0,,-1.0,,1.0,,
WNBA_202308020SEA,2023-08-02,2023,1,WNBA,DAL,SEA,,,1.0,,1.0,1.0,1.0,1.0,,,,12.816666666666666,,-7.0,2.0,1.0,,
WNBA_202308050PHO,2023-08-05,2023,1,WNBA,SEA,PHO,,,1.0,,1.0,4.0,4.0,3.0,1.0,1.0,1.0,12.483333333333333,4.0,7.0,9.0,5.0,,1.0
WNBA_202308080SEA,2023-08-08,2023,1,WNBA,CON,SEA,1.0,1.0,6.0,,0.667,6.0,4.0,2.0,,1.0,,27.65,6.0,-1.0,8.0,12.0,2.0,4.0
WNBA_202308100SEA,2023-08-10,2023,1,WNBA,ATL,SEA,1.0,1.0,4.0,,0.4,5.0,2.0,2.0,0.5,2.0,1.0,14.683333333333334,1.0,-6.0,5.0,5.0,1.0,
WNBA_202308130SEA,2023-08-13,2023,1,WNBA,PHO,SEA,1.0,1.0,2.0,,0.5,2.0,1.0,1.0,,,,9.533333333333333,3.0,-4.0,2.0,5.0,,3.0
WNBA_202308180SEA,2023-08-18,2023,1,WNBA,MIN,SEA,1.0,,1.0,,0.667,3.0,2.0,2.0,,,,12.966666666666667,3.0,2.0,4.0,4.0,,
WNBA_202308200MIN,2023-08-20,2023,1,WNBA,SEA,MIN,1.0,1.0,10.0,,0.6,5.0,3.0,3.0,0.667,3.0,2.0,27.116666666666667,5.0,23.0,8.0,15.0,,
WNBA_202308220CHI,2023-08-22,2023,1,WNBA,SEA,CHI,,,5.0,,0.4,5.0,2.0,2.0,0.5,4.0,2.0,29.716666666666665,4.0,-11.0,6.0,9.0,,
WNBA_202308240IND,2023-08-24,2023,1,WNBA,SEA,IND,1.0,,1.0,,1.0,1.0,1.0,4.0,1.0,2.0,2.0,13.266666666666667,1.0,4.0,4.0,2.0,1.0,
WNBA_202308270SEA,2023-08-27,2023,1,WNBA,CHI,SEA,,,3.0,,0.667,3.0,2.0,1.0,,,,10.966666666666667,1.0,5.0,4.0,4.0,,1.0
WNBA_202308310LAS,2023-08-31,2023,1,WNBA,SEA,LAS,,,4.0,,0.333,3.0,1.0,2.0,0.5,2.0,1.0,14.8,3.0,7.0,3.0,7.0,,2.0
WNBA_202309020LVA,2023-09-02,2023,1,WNBA,SEA,LVA,1.0,1.0,3.0,,,4.0,,1.0,,,,10.5,,-10.0,,3.0,2.0,
WNBA_202309060ATL,2023-09-06,2023,1,WNBA,SEA,ATL,,,4.0,,,1.0,,1.0,1.0,2.0,2.0,14.1,1.0,-4.0,2.0,5.0,,
