game_id,date,season,week,league,away,home,interceptions_lost,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,score_pts,score_r,score_tot
FOOTBALL_CFL_2021_10_23_SSK@CGY,2021-10-23,2021,1,CFL,SSK,CGY,,1.0,,,,,,,,,,,,,,,,,,3.0,3.0,,6.0,,,,,
FOOTBALL_CFL_2021_10_29_CGY@OTT,2021-10-29,2021,1,CFL,CGY,OTT,,1.0,1.0,,,,,1.0,15.0,,,,,,,,,,,3.0,2.0,,4.0,,,,,
FOOTBALL_CFL_2021_10_2_SSK@CGY,2021-10-02,2021,1,CFL,SSK,CGY,,1.0,,,,,,,,,,,,,,,,,,1.0,2.0,,2.0,,,,,
FOOTBALL_CFL_2021_10_9_CGY@SSK,2021-10-09,2021,1,CFL,CGY,SSK,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,
FOOTBALL_CFL_2021_11_12_CGY@BC,2021-11-12,2021,1,CFL,CGY,BC,,1.0,,,,,,,,,,,,,,,,,,2.0,2.0,,3.0,,,,,
FOOTBALL_CFL_2021_11_20_WPG@CGY,2021-11-20,2021,1,CFL,WPG,CGY,,20.0,10.0,1.0,,8.0,1.0,1.0,177.0,,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2021_11_28_CGY@SSK,2021-11-28,2021,1,CFL,CGY,SSK,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,
FOOTBALL_CFL_2021_8_20_MTL@CGY,2021-08-20,2021,1,CFL,MTL,CGY,,29.0,16.0,2.0,83.0,7.0,1.0,1.0,304.0,,,,,,,,,,,1.0,5.0,,5.0,,,,,
FOOTBALL_CFL_2021_8_29_CGY@WPG,2021-08-29,2021,1,CFL,CGY,WPG,,39.0,30.0,,41.0,,,,307.0,,,,,,6.0,1.0,1.0,3.0,6.0,1.0,1.0,,1.0,,,,,
FOOTBALL_CFL_2021_9_11_CGY@EDM,2021-09-11,2021,1,CFL,CGY,EDM,,1.0,,,,,,,,,,,,,,,,,,2.0,4.0,1.0,6.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2021_9_17_CGY@HAM,2021-09-17,2021,1,CFL,CGY,HAM,,9.0,9.0,,30.0,,,1.0,80.0,,,,,,,,,,,2.0,2.0,1.0,3.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2021_9_6_EDM@CGY,2021-09-06,2021,1,CFL,EDM,CGY,,46.0,29.0,,29.0,8.0,1.0,1.0,328.0,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W1_CGY,,2022,1,CFL,,,0.0,,,,,,,,,0.0,57.0,,,,,,,,,,,,,0.0,3.0,,,
SYNTHETIC_CFL_2022_W5_CGY,,2022,5,CFL,,,0.0,,,,,,,,,0.0,26.0,,,,,,,,,,,,,,,,,
