game_id,date,season,week,league,away,home,assisted_tackles,forced_fumbles,fumbles,fumbles_lost,interceptions,pass_attempts,pass_completions,pass_long,passing_tds,passing_yards,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles
FOOTBALL_IFL_2026_6_7_TNEWMEXICOCHUPACABRASG20260607JMSK@TTUCSONSUGARSKULLS,2026-06-07,2026,13,IFL,New Mexico Chupacabras,Tucson Sugar Skulls,,,,,0.0,2.0,0.0,0.0,0.0,0.0,-2.0,0.0,1.0,0.0,-2.0,,
FOOTBALL_IFL_2026_6_13_TTUCSONSUGARSKULLSG20260613XZNU@TVEGASKNIGHTHAWKS,2026-06-13,2026,14,IFL,Tucson Sugar Skulls,Vegas Knight Hawks,0.0,1.0,,,,,,,,,,,,,,0.0,0.0
FOOTBALL_IFL_2026_7_11_TTUCSONSUGARSKULLSG20260711B8WE@TARIZONARATTLERS,2026-07-11,2026,16,IFL,Tucson Sugar Skulls,Arizona Rattlers,,,,,1.0,4.0,1.0,10.0,0.0,10.0,2.0,2.0,1.0,0.0,2.0,,
FOOTBALL_IFL_2026_7_24_TTUCSONSUGARSKULLSG20260724I0UY@TSANDIEGOSTRIKEFORCE,2026-07-24,2026,20,IFL,Tucson Sugar Skulls,San Diego Strike Force,,,1.0,1.0,0.0,14.0,8.0,29.0,2.0,123.0,5.1,19.0,9.0,1.0,46.0,,
