game_id,date,season,week,league,away,home,recv_gp,recv_rec,recv_td,recv_yds
FOOTBALL_CFL_2021_SEASON_TOTAL,,2021,1,CFL,,,11.0,53.0,4.0,767.0
FOOTBALL_CFL_2022_SEASON_TOTAL,,2022,1,CFL,,,12.0,43.0,,433.0
