game_id,date,season,week,league,away,home,assist_tackles,def_solo,def_tot,int_long,int_yards,interceptions_made,pass_att,pass_cmp,pass_int,pass_lg,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_p,score_pts,score_r,score_tot,solo_tackles,tackles
FOOTBALL_CFL_2016_10_14_WPG@BC,2016-10-14,2016,1,CFL,WPG,BC,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,13.0,14.0,,51.0,,,,,,,
FOOTBALL_CFL_2016_10_22_EDM@BC,2016-10-22,2016,1,CFL,EDM,BC,,,,,,,,,,,,8.0,2.0,2.0,,6.0,12.0,,,,17.0,18.0,,108.0,,,,,,,
FOOTBALL_CFL_2016_10_29_BC@SSK,2016-10-29,2016,1,CFL,BC,SSK,,,,,,,,,,,,25.0,2.0,3.0,,29.0,36.0,,,,16.0,19.0,1.0,101.0,,,6.0,1.0,1.0,,
FOOTBALL_CFL_2016_11_13_WPG@BC,2016-11-13,2016,1,CFL,WPG,BC,,,,,,,,,,,,17.0,2.0,2.0,,19.0,24.0,,,,11.0,,1.0,110.0,,,6.0,1.0,1.0,,
FOOTBALL_CFL_2016_11_20_BC@CGY,2016-11-20,2016,1,CFL,BC,CGY,,,,,,,,,,,,10.0,3.0,4.0,,9.0,20.0,,,,8.0,24.0,,54.0,,,,,,,
FOOTBALL_CFL_2016_11_5_SSK@BC,2016-11-05,2016,1,CFL,SSK,BC,,,,,,,,,,,,,,2.0,,,,,,,8.0,8.0,,40.0,,,,,,,
FOOTBALL_CFL_2016_6_25_CGY@BC,2016-06-25,2016,1,CFL,CGY,BC,,,,,,,,,,,,5.0,1.0,1.0,,5.0,5.0,,,,9.0,11.0,,44.0,,,,,,,
FOOTBALL_CFL_2016_7_1_BC@HAM,2016-07-01,2016,1,CFL,BC,HAM,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,12.0,17.0,,76.0,,,,,,,
FOOTBALL_CFL_2016_8_13_HAM@BC,2016-08-13,2016,1,CFL,HAM,BC,,,,,,,,,,,,,,,,,,,,,15.0,20.0,2.0,62.0,1.0,,14.0,2.0,2.0,,
FOOTBALL_CFL_2016_8_19_CGY@BC,2016-08-19,2016,1,CFL,CGY,BC,,,,,,,,,,,,5.0,2.0,2.0,,3.0,8.0,,,,9.0,19.0,,53.0,,,,,,,
