game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_yards,targets
FOOTBALL_XFL_2020_2_15_NY@DC,2020-02-15,2020,2,XFL,NY,DC,1.0,67.0,6.0,1.0,5.0,3.0
FOOTBALL_XFL_2020_2_23_DC@LA,2020-02-23,2020,3,XFL,DC,LA,,18.0,1.0,,,1.0
FOOTBALL_XFL_2020_3_8_STL@DC,2020-03-08,2020,5,XFL,STL,DC,,,,1.0,28.0,
