game_id,date,season,week,league,away,home,def_sacks,def_tackles,gp
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,24.0,12.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,2.5,10.0,12.0
