game_id,date,season,week,league,away,home,potw_defense
FOOTBALL_NAL_2022_SEASON_TOTAL,,2022,1,NAL,,,1.0
FOOTBALL_NAL_2023_SEASON_TOTAL,,2023,1,NAL,,,1.0
