game_id,date,season,week,league,away,home,recv_gp,recv_rec,recv_yds,rush_att,rush_gp,rush_td,rush_yds
FOOTBALL_CFL_2019_SEASON_TOTAL,,2019,1,CFL,,,16.0,10.0,39.0,3.0,16.0,2.0,8.0
FOOTBALL_CFL_2021_SEASON_TOTAL,,2021,1,CFL,,,8.0,1.0,7.0,,,,
