game_id,date,season,week,league,away,home,def_tackles,gp,recv_rec,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,9.0,3.0,,8.0,,9.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,7.0,,,57.0,1.0,168.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,1.0,6.0,7.0,39.0,24.0,,88.0
