game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_yds,recv_rec,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,8.0,,,3.0,38.0,58.0,1.0,217.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,12.0,,,18.0,193.0,85.0,1.0,305.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,2.0,12.0,11.0,168.0,4.0,21.0,47.0,1.0,132.0
