game_id,date,season,week,league,away,home,def_sacks,def_tackles,gp,recv_rec,recv_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,3.0,7.0,,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,8.0,4.0,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,,4.0,1.0,5.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,1.0,18.0,11.0,,
