game_id,date,season,week,league,away,home,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,match_played
cricket-bbl-2019-01-01-1152525,2019-01-01,2019,1,BBL,Brisbane Heat,Sydney Sixers,24.0,1.0,0.0,2.0,30.0,2.0,1.0
cricket-bbl-2019-01-04-1152529,2019-01-04,2019,1,BBL,Hobart Hurricanes,Sydney Sixers,8.0,1.0,0.0,2.0,5.0,0.0,1.0
cricket-bbl-2019-01-06-1152532,2019-01-06,2019,1,BBL,Adelaide Strikers,Sydney Sixers,3.0,0.0,0.0,2.0,0.0,0.0,1.0
cricket-bbl-2020-01-05-1195595,2020-01-05,2020,1,BBL,Sydney Sixers,Adelaide Strikers,33.0,4.0,0.0,2.0,47.0,2.0,1.0
cricket-bbl-2020-01-08-1195599,2020-01-08,2020,1,BBL,Adelaide Strikers,Sydney Sixers,8.0,2.0,0.0,2.0,11.0,0.0,1.0
cricket-bbl-2020-01-12-1195606,2020-01-12,2020,1,BBL,Melbourne Stars,Sydney Sixers,5.0,0.0,0.0,7.0,4.0,0.0,1.0
cricket-bbl-2020-01-18-1195614,2020-01-18,2020,1,BBL,Sydney Thunder,Sydney Sixers,31.0,1.0,0.0,6.0,28.0,2.0,1.0
cricket-bbl-2021-01-13-1226861,2021-01-13,2021,1,BBL,Sydney Thunder,Sydney Sixers,10.0,2.0,0.0,2.0,17.0,1.0,1.0
cricket-bbl-2021-01-16-1226865,2021-01-16,2021,1,BBL,Perth Scorchers,Sydney Sixers,13.0,1.0,0.0,2.0,8.0,0.0,1.0
cricket-bbl-2022-01-02-1269668,2022-01-02,2022,1,BBL,Perth Scorchers,Melbourne Stars,5.0,1.0,0.0,7.0,6.0,0.0,1.0
cricket-bbl-2022-01-03-1269670,2022-01-03,2022,1,BBL,Melbourne Stars,Melbourne Renegades,9.0,1.0,0.0,2.0,6.0,0.0,1.0
cricket-bbl-2022-01-09-1269679,2022-01-09,2022,1,BBL,Sydney Sixers,Perth Scorchers,22.0,2.0,0.0,2.0,23.0,1.0,1.0
cricket-bbl-2022-01-17-1269689,2022-01-17,2022,1,BBL,Sydney Sixers,Adelaide Strikers,29.0,1.0,0.0,6.0,52.0,5.0,1.0
cricket-bbl-2022-01-19-1269692,2022-01-19,2022,1,BBL,Sydney Sixers,Brisbane Heat,8.0,0.0,0.0,6.0,12.0,1.0,1.0
cricket-bbl-2022-01-22-1269695,2022-01-22,2022,1,BBL,Perth Scorchers,Sydney Sixers,3.0,0.0,0.0,2.0,0.0,0.0,1.0
cricket-bbl-2022-01-26-1269697,2022-01-26,2022,1,BBL,Adelaide Strikers,Sydney Sixers,8.0,0.0,0.0,2.0,1.0,0.0,1.0
cricket-bbl-2022-01-28-1269698,2022-01-28,2022,1,BBL,Perth Scorchers,Sydney Sixers,4.0,0.0,0.0,6.0,1.0,0.0,1.0
