game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_yds,pr_no,pr_yds,recv_rec,recv_td,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,1.0,7.0,2.0,27.0,,,14.0,2.0,117.0,2.0,8.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,12.0,,,,,31.0,4.0,335.0,,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,12.0,4.0,121.0,,,24.0,2.0,368.0,2.0,8.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,9.0,1.0,16.0,,,15.0,3.0,225.0,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,12.0,8.0,173.0,2.0,27.0,11.0,3.0,114.0,1.0,6.0
