game_id,date,season,week,league,away,home,def_ast,def_solo,def_tot,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_yds,score_p,score_pts,score_tot
FOOTBALL_CFL_2016_10_14_WPG@BC,2016-10-14,2016,1,CFL,WPG,BC,,,,62.0,3.0,4.0,,33.0,96.0,,,,1.0,21.0,21.0,,,
FOOTBALL_CFL_2016_10_1_OTT@BC,2016-10-01,2016,1,CFL,OTT,BC,,,,,4.0,5.0,1.0,31.0,84.0,,,,2.0,7.0,10.0,1.0,6.0,1.0
FOOTBALL_CFL_2016_10_22_EDM@BC,2016-10-22,2016,1,CFL,EDM,BC,,,,12.0,3.0,3.0,,12.0,21.0,,,,,,,,,
FOOTBALL_CFL_2016_10_29_BC@SSK,2016-10-29,2016,1,CFL,BC,SSK,,,,,2.0,5.0,1.0,4.0,31.0,,,,1.0,16.0,16.0,1.0,6.0,1.0
FOOTBALL_CFL_2016_10_8_BC@WPG,2016-10-08,2016,1,CFL,BC,WPG,,,,7.0,2.0,3.0,,7.0,14.0,,,,,,,,,
FOOTBALL_CFL_2016_11_13_WPG@BC,2016-11-13,2016,1,CFL,WPG,BC,,,,11.0,3.0,4.0,1.0,1.0,26.0,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2016_11_20_BC@CGY,2016-11-20,2016,1,CFL,BC,CGY,,,,51.0,3.0,5.0,,29.0,86.0,,,,,,,,,
FOOTBALL_CFL_2016_11_5_SSK@BC,2016-11-05,2016,1,CFL,SSK,BC,,1.0,1.0,46.0,2.0,4.0,1.0,5.0,51.0,11.0,1.0,11.0,1.0,4.0,4.0,1.0,6.0,1.0
FOOTBALL_CFL_2016_8_12_MIN@CIN,2016-08-12,2016,1,CFL,MIN,CIN,,,,,,1.0,,,,,,,,,,,,
FOOTBALL_CFL_2016_9_23_BC@EDM,2016-09-23,2016,1,CFL,BC,EDM,,,,,,1.0,,,,,,,,,,,,
FOOTBALL_CFL_2018_10_27_OTT@HAM,2018-10-27,2018,1,CFL,OTT,HAM,,,,27.0,6.0,9.0,,24.0,55.0,,,,,,,,,
FOOTBALL_CFL_2018_11_3_MTL@HAM,2018-11-03,2018,1,CFL,MTL,HAM,,,,,,1.0,,,,38.0,6.0,141.0,,,,,,
FOOTBALL_CFL_2018_8_10_ATL@NYJ,2018-08-10,2018,1,CFL,ATL,NYJ,,2.0,2.0,,,,,,,,,,,,,,,
FOOTBALL_CFL_2018_8_16_NYJ@WAS,2018-08-16,2018,1,CFL,NYJ,WAS,1.0,2.0,3.0,,,,,,,,,,,,,,,
FOOTBALL_CFL_2018_8_30_NYJ@PHI,2018-08-30,2018,1,CFL,NYJ,PHI,1.0,,1.0,,,,,,,,,,,,,,,
