game_id,date,season,week,league,away,home,assists,d_points,goals,o_points,plus_minus,touches,turnovers
PUL_2024_SEASON_TOTAL,,2024,1,PUL,,,2.0,13.0,3.0,48.0,-1.0,70.0,6.0
PUL_2025_SEASON_TOTAL,,2025,1,PUL,,,,25.0,,4.0,-4.0,12.0,4.0
