game_id,date,season,week,league,away,home,gp,pass_att,pass_cmp,pass_int,pass_yds,rush_att,rush_yds
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,7.0,16.0,2.0,1.0,10.0,3.0,5.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,8.0,1.0,1.0,,6.0,,
