game_id,date,season,week,league,away,home,fumble_recoveries,receiving_tds,receiving_yards,receptions
5pr1v6tabjsekhe4,2026-05-02,2026,1,50 Yard,San Antonio Gunslingers,Tucson Sugar Skulls,0.0,2.0,26.0,
SYNTHETIC_50YARD_2026_W2_SANANTONIOGUNSLINGERS,2026-05-09,2026,2,50YARD,San Antonio Gunslingers,Northern Arizona Wranglers,,,10.0,2.0
