game_id,date,season,week,league,away,home,receiving_tds,receiving_yards,receptions,targets
FOOTBALL_XFL_2020_2_16_DAL@LA,2020-02-16,2020,2,XFL,DAL,LA,,10.0,1.0,1.0
FOOTBALL_XFL_2020_2_29_LA@NY,2020-02-29,2020,4,XFL,LA,NY,,2.0,1.0,
FOOTBALL_XFL_2020_3_8_TB@LA,2020-03-08,2020,5,XFL,TB,LA,1.0,14.0,2.0,1.0
SYNTHETIC_USFL_2022_W2_TB,,2022,2,USFL,,,0.0,20.0,2.0,
SYNTHETIC_USFL_2022_W3_TB,,2022,3,USFL,,,0.0,10.0,1.0,
SYNTHETIC_USFL_2022_W4_TB,,2022,4,USFL,,,0.0,5.0,1.0,
SYNTHETIC_USFL_2022_W5_TB,,2022,5,USFL,,,0.0,12.0,2.0,
SYNTHETIC_USFL_2022_W6_TB,,2022,6,USFL,,,1.0,55.0,3.0,
SYNTHETIC_USFL_2022_W7_TB,,2022,7,USFL,,,0.0,15.0,1.0,
SYNTHETIC_USFL_2022_W9_TB,,2022,9,USFL,,,0.0,31.0,3.0,
SYNTHETIC_USFL_2022_W10_TB,,2022,10,USFL,,,1.0,26.0,3.0,
