game_id,date,season,week,league,away,home,def_solo,def_tot,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_yds,rush_att,rush_lg,rush_yds
FOOTBALL_CFL_2018_11_2_TOR@OTT,2018-11-02,2018,1,CFL,TOR,OTT,,,10.0,5.0,,16.0,1.0,1.0,49.0,,,
FOOTBALL_CFL_2018_7_12_CGY@OTT,2018-07-12,2018,1,CFL,CGY,OTT,1.0,1.0,7.0,3.0,1.0,19.0,,,41.0,2.0,10.0,12.0
