game_id,date,season,week,league,away,home,def_pd,def_tackles,gp,rush_att,rush_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,6.0,9.0,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,3.0,5.0,1.0,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,1.0,3.0,10.0,3.0,20.0
