game_id,date,season,week,league,away,home,def_solo,def_tot,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_yds,score_conv,score_p,score_pts,score_tot,tackles
FOOTBALL_CFL_2016_10_15_SSK@TOR,2016-10-15,2016,1,CFL,SSK,TOR,,,,,,12.0,1.0,1.0,,10.0,12.0,,,,,,,,,,,
FOOTBALL_CFL_2016_10_2_TOR@MTL,2016-10-02,2016,1,CFL,TOR,MTL,,,,,,,,1.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2016_8_12_WPG@TOR,2016-08-12,2016,1,CFL,WPG,TOR,,,,,,,,1.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2016_9_5_TOR@HAM,2016-09-05,2016,1,CFL,TOR,HAM,,,,,,5.0,1.0,1.0,,5.0,5.0,,,,,,,,,,,
FOOTBALL_CFL_2017_10_14_TOR@EDM,2017-10-14,2017,1,CFL,TOR,EDM,,,,,,3.0,2.0,2.0,1.0,,5.0,,,,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2017_10_21_WPG@TOR,2017-10-21,2017,1,CFL,WPG,TOR,,,,,,19.0,4.0,5.0,1.0,24.0,41.0,,,,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2017_10_7_SSK@TOR,2017-10-07,2017,1,CFL,SSK,TOR,,,,,,21.0,6.0,6.0,,32.0,43.0,,,,1.0,-2.0,-2.0,,,,,
FOOTBALL_CFL_2017_11_19_SSK@TOR,2017-11-19,2017,1,CFL,SSK,TOR,,,,,,15.0,1.0,1.0,,6.0,15.0,,,,,,,,,,,
FOOTBALL_CFL_2017_11_26_CGY@TOR,2017-11-26,2017,1,CFL,CGY,TOR,,,,,,27.0,5.0,5.0,,22.0,36.0,,,,,,,2.0,,4.0,,
FOOTBALL_CFL_2017_11_4_TOR@BC,2017-11-04,2017,1,CFL,TOR,BC,,,,,,14.0,3.0,3.0,1.0,24.0,29.0,,,,1.0,9.0,9.0,,1.0,6.0,1.0,
FOOTBALL_CFL_2017_6_25_HAM@TOR,2017-06-25,2017,1,CFL,HAM,TOR,,,,,,11.0,2.0,2.0,,13.0,15.0,,,,,,,,,,,
FOOTBALL_CFL_2017_7_24_OTT@TOR,2017-07-24,2017,1,CFL,OTT,TOR,,,,,,,1.0,2.0,1.0,3.0,3.0,,,,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2017_7_29_TOR@SSK,2017-07-29,2017,1,CFL,TOR,SSK,,,,,,45.0,1.0,1.0,,28.0,45.0,,,,,,,,,,,
FOOTBALL_CFL_2017_8_11_TOR@MTL,2017-08-11,2017,1,CFL,TOR,MTL,,,,,,13.0,3.0,3.0,,21.0,23.0,,,,,,,,,,,
FOOTBALL_CFL_2017_8_19_MTL@TOR,2017-08-19,2017,1,CFL,MTL,TOR,,,,,,11.0,5.0,5.0,1.0,33.0,34.0,,,,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2017_8_26_TOR@CGY,2017-08-26,2017,1,CFL,TOR,CGY,,,,,,39.0,2.0,3.0,,40.0,40.0,,,,,,,,,,,
FOOTBALL_CFL_2017_8_3_CGY@TOR,2017-08-03,2017,1,CFL,CGY,TOR,1.0,1.0,,,,8.0,1.0,2.0,,8.0,8.0,,,,,,,,,,,
