game_id,date,season,week,league,away,home,def_tackles,gp,punt_no,punt_yds,rush_att,rush_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,11.0,58.0,2311.0,1.0,3.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,7.0,44.0,1911.0,2.0,15.0
