game_id,date,season,week,league,away,home,gp,pass_att,pass_cmp,pass_int,pass_td,pass_yds,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,6.0,154.0,92.0,3.0,10.0,1393.0,1.0,1.0,4.0,64.0,3.0,445.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,8.0,207.0,129.0,9.0,10.0,1338.0,,,,51.0,3.0,332.0
