game_id,date,season,week,league,away,home,def_ast,def_solo,def_tot,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_yds
FOOTBALL_CFL_2017_10_22_HAM@MTL,2017-10-22,2017,1,CFL,HAM,MTL,,1.0,1.0,11.0,3.0,6.0,3.0,24.0,7.0,1.0,7.0,,,
FOOTBALL_CFL_2017_10_27_MTL@SSK,2017-10-27,2017,1,CFL,MTL,SSK,,,,12.0,1.0,6.0,5.0,12.0,,,,,,
FOOTBALL_CFL_2017_10_9_EDM@MTL,2017-10-09,2017,1,CFL,EDM,MTL,,,,29.0,4.0,4.0,22.0,69.0,,,,1.0,2.0,2.0
FOOTBALL_CFL_2017_11_3_MTL@HAM,2017-11-03,2017,1,CFL,MTL,HAM,,,,3.0,1.0,5.0,1.0,3.0,13.0,1.0,13.0,,,
FOOTBALL_CFL_2017_8_19_CAR@TEN,2017-08-19,2017,1,CFL,CAR,TEN,,,,,,1.0,,,,,,,,
FOOTBALL_CFL_2017_8_31_PIT@CAR,2017-08-31,2017,1,CFL,PIT,CAR,1.0,1.0,2.0,,,,,,,,,,,
FOOTBALL_CFL_2017_8_9_HOU@CAR,2017-08-09,2017,1,CFL,HOU,CAR,,,,,,1.0,,,,,,,,
FOOTBALL_CFL_2017_9_29_MTL@CGY,2017-09-29,2017,1,CFL,MTL,CGY,,,,13.0,2.0,5.0,1.0,23.0,,,,1.0,8.0,8.0
FOOTBALL_CFL_2018_10_20_MTL@TOR,2018-10-20,2018,1,CFL,MTL,TOR,,,,19.0,3.0,5.0,3.0,39.0,,,,1.0,5.0,5.0
FOOTBALL_CFL_2018_10_28_TOR@MTL,2018-10-28,2018,1,CFL,TOR,MTL,,,,,,4.0,,,,,,1.0,5.0,5.0
FOOTBALL_CFL_2018_10_8_CGY@MTL,2018-10-08,2018,1,CFL,CGY,MTL,,,,25.0,3.0,3.0,10.0,35.0,,,,,,
FOOTBALL_CFL_2018_8_11_MTL@OTT,2018-08-11,2018,1,CFL,MTL,OTT,,,,4.0,1.0,2.0,4.0,4.0,3.0,1.0,3.0,,,
FOOTBALL_CFL_2018_8_18_MTL@EDM,2018-08-18,2018,1,CFL,MTL,EDM,,,,15.0,1.0,4.0,,15.0,,,,,,
FOOTBALL_CFL_2018_8_3_HAM@MTL,2018-08-03,2018,1,CFL,HAM,MTL,,,,,,1.0,,,15.0,1.0,15.0,1.0,17.0,17.0
