game_id,date,season,week,league,away,home,def_tackles,gp,pass_att,pass_cmp,pass_int,pass_td,pass_yds,recv_rec,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,,4.0,10.0,4.0,1.0,,67.0,,,3.0,34.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.0,10.0,42.0,14.0,,2.0,129.0,,,30.0,163.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,,10.0,14.0,4.0,,,23.0,4.0,35.0,8.0,36.0
