game_id,date,season,week,league,away,home,1pt_conversion,conversions,interceptions_lost,passing_tds,passing_yards,rushing_tds,rushing_yards
FOOTBALL_XFL_2023_3_19_ARL@SA,2023-03-19,2023,5,XFL,ARL,SA,,,1.0,1.0,97.0,,10.0
SYNTHETIC_XFL_2023_W5_BRAHMAS,2023-03-19,2023,5,XFL,BRAHMAS,RENEGADES,1.0,0.0,,,,,
4,2024-03-31,2024,1,UFL,ROUGHNECKS,SHOWBOATS,,,0.0,0.0,0.0,,
8,2024-04-07,2024,2,UFL,DEFENDERS,ROUGHNECKS,,,0.0,1.0,221.0,,
11,2024-04-14,2024,3,UFL,PANTHERS,ROUGHNECKS,,1.0,1.0,1.0,197.0,1.0,19.0
16,2024-04-21,2024,4,UFL,ROUGHNECKS,RENEGADES,,1.0,0.0,1.0,191.0,0.0,9.0
18,2024-04-27,2024,5,UFL,ROUGHNECKS,STALLIONS,,,1.0,1.0,203.0,0.0,6.0
22,2024-05-04,2024,6,UFL,BATTLEHAWKS,ROUGHNECKS,,,0.0,0.0,135.0,,
28,2024-05-12,2024,7,UFL,ROUGHNECKS,BRAHMAS,,,0.0,0.0,17.0,,
30,2024-05-18,2024,8,UFL,STALLIONS,ROUGHNECKS,,1.0,1.0,1.0,99.0,0.0,8.0
36,2024-05-26,2024,9,UFL,ROUGHNECKS,PANTHERS,,,0.0,0.0,57.0,,
40,2024-06-02,2024,10,UFL,SHOWBOATS,ROUGHNECKS,,,1.0,0.0,16.0,,
