game_id,date,season,week,league,away,home,def_tackles,gp,pr_td,pr_yds,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,3.0,9.0,,,7.0,,71.0,63.0,2.0,235.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,12.0,1.0,58.0,3.0,1.0,6.0,67.0,2.0,385.0
