game_id,date,season,week,league,away,home,conversions,interceptions_lost,lost_fumbles,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,passing_tds,passing_yards,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,score_pts,score_r,score_tot
FOOTBALL_CFL_2017_11_4_TOR@BC,2017-11-04,2017,1,CFL,TOR,BC,,,,1.0,1.0,,2.0,,,,2.0,,,,,,,,,,,
FOOTBALL_CFL_2017_9_23_MTL@TOR,2017-09-23,2017,1,CFL,MTL,TOR,,,,1.0,1.0,,8.0,,,,8.0,,,,,,,,,,,
FOOTBALL_CFL_2018_10_6_TOR@BC,2018-10-06,2018,1,CFL,TOR,BC,,,,18.0,11.0,4.0,21.0,7.0,1.0,1.0,97.0,,,1.0,2.0,,2.0,,,,,
FOOTBALL_CFL_2018_11_2_TOR@OTT,2018-11-02,2018,1,CFL,TOR,OTT,,,,22.0,14.0,1.0,32.0,7.0,2.0,,186.0,,,6.0,10.0,,20.0,,,,,
FOOTBALL_CFL_2018_8_18_BC@TOR,2018-08-18,2018,1,CFL,BC,TOR,,,,29.0,18.0,,30.0,9.0,3.0,1.0,260.0,,,,,,,,,,,
FOOTBALL_CFL_2018_8_24_TOR@MTL,2018-08-24,2018,1,CFL,TOR,MTL,,,,37.0,26.0,,64.0,5.0,1.0,1.0,296.0,,,1.0,3.0,,3.0,,,,,
FOOTBALL_CFL_2018_8_2_OTT@TOR,2018-08-02,2018,1,CFL,OTT,TOR,,,,37.0,25.0,1.0,48.0,5.0,1.0,4.0,302.0,,,6.0,23.0,,54.0,,,,,
FOOTBALL_CFL_2018_9_22_SSK@TOR,2018-09-22,2018,1,CFL,SSK,TOR,,,,44.0,32.0,1.0,56.0,10.0,2.0,,321.0,,,4.0,11.0,,25.0,,,,,
FOOTBALL_CFL_2018_9_28_TOR@CGY,2018-09-28,2018,1,CFL,TOR,CGY,,,,45.0,31.0,1.0,34.0,14.0,2.0,,273.0,,,3.0,4.0,1.0,8.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2018_9_3_TOR@HAM,2018-09-03,2018,1,CFL,TOR,HAM,,,,29.0,14.0,1.0,25.0,,,,163.0,,,,,,,,,,,
FOOTBALL_CFL_2018_9_8_HAM@TOR,2018-09-08,2018,1,CFL,HAM,TOR,,,,42.0,27.0,1.0,,,,2.0,295.0,,,1.0,4.0,,4.0,,,,,
SYNTHETIC_CFL_2022_W2_TOR,,2022,2,CFL,,,,,,,,,,,,,,,269.0,,,,,0.0,9.0,,,
SYNTHETIC_CFL_2022_W3_TOR,,2022,3,CFL,,,,,,,,,,,,,,,178.0,,,,,0.0,11.0,,,
SYNTHETIC_CFL_2022_W4_TOR,,2022,4,CFL,,,,,,,,,,,,,,,314.0,,,,,0.0,1.0,,,
SYNTHETIC_CFL_2022_W6_TOR,2022-07-16,2022,6,CFL,SSK,TOR,,1.0,,,,,,,,,,2.0,276.0,,,,,0.0,32.0,,,
SYNTHETIC_CFL_2022_W7_TOR,2022-07-24,2022,7,CFL,TOR,SSK,,1.0,,,,,,,,,,2.0,336.0,,,,,0.0,17.0,,,
SYNTHETIC_CFL_2022_W8_TOR,2022-07-31,2022,8,CFL,OTT,TOR,,0.0,,,,,,,,,,1.0,340.0,,,,,0.0,6.0,,,
SYNTHETIC_CFL_2022_W9_TOR,2022-08-06,2022,9,CFL,HAM,TOR,,0.0,,,,,,,,,,1.0,230.0,,,,,0.0,9.0,,,
SYNTHETIC_CFL_2022_W10_TOR,2022-08-12,2022,10,CFL,TOR,HAM,,0.0,,,,,,,,,,1.0,287.0,,,,,0.0,0.0,,,
SYNTHETIC_CFL_2022_W11_TOR,2022-08-20,2022,11,CFL,CGY,TOR,,1.0,,,,,,,,,,0.0,276.0,,,,,0.0,6.0,,,
SYNTHETIC_CFL_2022_W14_TOR,2022-09-10,2022,14,CFL,TOR,OTT,,1.0,,,,,,,,,,1.0,365.0,,,,,0.0,11.0,,,
SYNTHETIC_CFL_2022_W16_TOR,2022-09-24,2022,16,CFL,TOR,OTT,,1.0,,,,,,,,,,3.0,245.0,,,,,0.0,2.0,,,
SYNTHETIC_CFL_2022_W17_TOR,2022-10-01,2022,17,CFL,TOR,CGY,,2.0,,,,,,,,,,0.0,194.0,,,,,0.0,8.0,,,
SYNTHETIC_CFL_2022_W18_TOR,2022-10-08,2022,18,CFL,BC,TOR,,0.0,,,,,,,,,,1.0,352.0,,,,,0.0,24.0,,,
SYNTHETIC_CFL_2022_W19_TOR,2022-10-15,2022,19,CFL,TOR,EDM,,0.0,,,,,,,,,,1.0,273.0,,,,,0.0,15.0,,,
SYNTHETIC_CFL_2022_W20_TOR,2022-10-22,2022,20,CFL,TOR,MTL,,1.0,,,,,,,,,,2.0,240.0,,,,,0.0,15.0,,,
SYNTHETIC_USFL_2023_W1_BREAKERS,2023-04-16,2023,1,USFL,BREAKERS,MAULERS,,0.0,,,,,,,,,,1.0,302.0,,,,,0.0,16.0,,,
SYNTHETIC_USFL_2023_W2_BREAKERS,2023-04-22,2023,2,USFL,BREAKERS,GAMBLERS,,0.0,,,,,,,,,,2.0,251.0,,,,,0.0,8.0,,,
