game_id,date,season,week,league,away,home,def_ff,def_fr,def_int,def_pd,def_tackles,gp,kr_no,kr_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,,2.0,8.0,9.0,4.0,1.0,19.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,2.0,1.0,5.0,17.0,42.0,12.0,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,,2.0,12.0,30.0,12.0,,
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,,1.0,8.0,25.0,12.0,,
