game_id,date,season,week,league,away,home,def_rebounds,fga,minutes,off_rebounds,plus_minus,rebounds,steals
WNBA_202105150WAS,2021-05-15,2021,1,WNBA,CHI,WAS,2.0,2.0,5.666666666666667,1.0,5.0,3.0,
WNBA_202105180WAS,2021-05-18,2021,1,WNBA,PHO,WAS,1.0,,2.1333333333333333,,-4.0,1.0,1.0
