game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,pp_assists,pp_goals,sh_goals,sog,to
NLL_2019_SEASON_TOTAL,,2019,1,NLL,,,41.0,,,10.0,13.0,,2.0,,54.0,,,,,
NLL_2021_SEASON_TOTAL,,2021,1,NLL,,,62.0,,,18.0,30.0,,10.0,,92.0,,,,,
NLL_2022_SEASON_TOTAL,,2022,1,NLL,,,73.0,,,18.0,25.0,,10.0,,98.0,24.0,6.0,,,
NLL_2023_SEASON_TOTAL,,2023,1,NLL,,,67.0,,,18.0,31.0,,8.0,,98.0,18.0,11.0,1.0,,
703329312,2025-10-28,2025,1,NLL,TORONTO,OSHAWA,3.0,3.0,3.0,,0.0,3.0,,3.0,,,,,3.0,3.0
