game_id,date,season,week,league,away,home,gp,pass_att,recv_rec,recv_td,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,11.0,1.0,29.0,3.0,342.0,1.0,2.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,8.0,,14.0,1.0,183.0,,
