game_id,date,season,week,league,away,home,def_fr,def_int,def_pd,def_sacks,def_tackles,gp,kr_no,kr_yds,punt_no,punt_yds
FOOTBALL_ELF_2021_SEASON_TOTAL,,2021,1,ELF,,,1.0,1.0,,1.0,14.0,8.0,,,1.0,36.0
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,1.0,1.0,1.0,,26.0,12.0,7.0,135.0,,
