game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_yds,pass_att,pass_cmp,pass_int,pass_yds,pr_no,pr_yds,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,6.0,10.0,201.0,,,,,3.0,36.0,39.0,8.0,829.0,2.0,,
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,10.0,3.0,77.0,1.0,,,,9.0,75.0,58.0,8.0,565.0,2.0,,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,,4.0,,,,,,,,,25.0,4.0,337.0,2.0,,12.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,1.0,12.0,,,5.0,1.0,2.0,10.0,,,41.0,5.0,572.0,6.0,1.0,
