game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_yds,recv_rec,recv_td,recv_yds,rush_att,rush_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,3.0,12.0,1.0,17.0,25.0,3.0,319.0,1.0,
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,4.0,,,12.0,1.0,213.0,5.0,14.0
