game_id,date,season,week,league,away,home,1pt_conversion,conversions,lost_fumbles,receiving_tds,receiving_yards,receptions
FOOTBALL_XFL_2023_2_18_ORL@HOU,2023-02-18,2023,1,XFL,ORL,HOU,,,,,22.0,4.0
FOOTBALL_XFL_2023_2_26_SA@ORL,2023-02-26,2023,2,XFL,SA,ORL,,,,,4.0,1.0
FOOTBALL_XFL_2023_3_5_ORL@ARL,2023-03-05,2023,3,XFL,ORL,ARL,,,,,29.0,3.0
FOOTBALL_XFL_2023_3_11_HOU@ORL,2023-03-11,2023,4,XFL,HOU,ORL,,,1.0,1.0,89.0,2.0
SYNTHETIC_XFL_2023_W4_GUARDIANS,,2023,4,XFL,,,1.0,0.0,,,,
FOOTBALL_XFL_2023_3_18_ORL@VGS,2023-03-18,2023,5,XFL,ORL,VGS,,,,1.0,69.0,5.0
FOOTBALL_XFL_2023_3_25_SEA@ORL,2023-03-25,2023,6,XFL,SEA,ORL,,,,,54.0,6.0
FOOTBALL_XFL_2023_4_1_DC@ORL,2023-04-01,2023,7,XFL,DC,ORL,,,,,63.0,3.0
SYNTHETIC_XFL_2023_W7_GUARDIANS,,2023,7,XFL,,,0.0,0.0,,,,
FOOTBALL_XFL_2023_4_8_ARL@ORL,2023-04-08,2023,8,XFL,ARL,ORL,,,,,27.0,4.0
FOOTBALL_XFL_2023_4_15_ORL@SA,2023-04-15,2023,9,XFL,ORL,SA,,,,,16.0,2.0
FOOTBALL_XFL_2023_4_22_ORL@STL,2023-04-22,2023,10,XFL,ORL,STL,,,,1.0,57.0,5.0
SYNTHETIC_XFL_2023_W10_GUARDIANS,,2023,10,XFL,,,0.0,0.0,,,,
SYNTHETIC_CFL_2024_W1_MTL,,2024,1,CFL,,,,,,0.0,10.0,2.0
SYNTHETIC_CFL_2024_W2_MTL,,2024,2,CFL,,,,,,0.0,28.0,2.0
SYNTHETIC_CFL_2024_W3_MTL,,2024,3,CFL,,,,,,0.0,2.0,1.0
SYNTHETIC_CFL_2024_W4_MTL,,2024,4,CFL,,,,,,0.0,22.0,4.0
SYNTHETIC_CFL_2024_W5_MTL,,2024,5,CFL,,,,,,0.0,40.0,4.0
SYNTHETIC_CFL_2024_W6_MTL,,2024,6,CFL,,,,,,1.0,53.0,4.0
SYNTHETIC_CFL_2024_W8_MTL,,2024,8,CFL,,,,,,0.0,45.0,4.0
SYNTHETIC_CFL_2024_W9_MTL,,2024,9,CFL,,,,,,1.0,86.0,4.0
SYNTHETIC_CFL_2024_W10_MTL,,2024,10,CFL,,,,,,2.0,124.0,6.0
SYNTHETIC_CFL_2024_W11_MTL,,2024,11,CFL,,,,,,0.0,94.0,7.0
SYNTHETIC_CFL_2024_W12_MTL,,2024,12,CFL,,,,,,0.0,95.0,3.0
SYNTHETIC_CFL_2024_W14_MTL,,2024,14,CFL,,,,,,0.0,31.0,4.0
SYNTHETIC_CFL_2024_W15_MTL,,2024,15,CFL,,,,,,0.0,51.0,2.0
SYNTHETIC_CFL_2024_W16_MTL,,2024,16,CFL,,,,,,0.0,77.0,4.0
SYNTHETIC_CFL_2024_W17_MTL,,2024,17,CFL,,,,,,0.0,15.0,3.0
SYNTHETIC_CFL_2024_W19_MTL,,2024,19,CFL,,,,,,0.0,12.0,2.0
SYNTHETIC_CFL_2024_W20_MTL,,2024,20,CFL,,,,,,0.0,18.0,3.0
SYNTHETIC_CFL_2024_W21_MTL,,2024,21,CFL,,,,,,1.0,5.0,2.0
SYNTHETIC_CFL_2025_W1_MTL,,2025,1,CFL,,,,,,0.0,36.0,3.0
SYNTHETIC_CFL_2025_W3_MTL,,2025,3,CFL,,,,,,0.0,77.0,3.0
SYNTHETIC_CFL_2025_W4_MTL,,2025,4,CFL,,,,,,0.0,49.0,5.0
SYNTHETIC_CFL_2025_W5_MTL,,2025,5,CFL,,,,,,0.0,6.0,1.0
SYNTHETIC_CFL_2025_W7_MTL,,2025,7,CFL,,,,,,0.0,48.0,5.0
SYNTHETIC_CFL_2025_W8_MTL,,2025,8,CFL,,,,,,0.0,50.0,7.0
SYNTHETIC_CFL_2025_W10_MTL,,2025,10,CFL,,,,,,0.0,51.0,8.0
SYNTHETIC_CFL_2025_W11_MTL,,2025,11,CFL,,,,,,0.0,46.0,5.0
SYNTHETIC_CFL_2025_W12_MTL,,2025,12,CFL,,,,,,0.0,19.0,3.0
SYNTHETIC_CFL_2025_W14_MTL,,2025,14,CFL,,,,,,0.0,5.0,2.0
SYNTHETIC_CFL_2025_W15_MTL,,2025,15,CFL,,,,,,0.0,44.0,2.0
SYNTHETIC_CFL_2025_W16_MTL,,2025,16,CFL,,,,,,1.0,18.0,1.0
SYNTHETIC_CFL_2025_W17_MTL,,2025,17,CFL,,,,,,1.0,53.0,3.0
SYNTHETIC_CFL_2025_W19_MTL,,2025,19,CFL,,,,,,0.0,14.0,2.0
SYNTHETIC_CFL_2025_W20_MTL,,2025,20,CFL,,,,,,1.0,34.0,2.0
SYNTHETIC_CFL_2025_W21_MTL,,2025,21,CFL,,,,,,0.0,35.0,2.0
