game_id,date,season,week,league,away,home,assists,catches,completions,drops,goals,hockeyAssists,throwAttempts,throwaways,yardsReceived,yardsThrown
2023-06-17-MIN-MAD,2023-06-17,2023,8,,MIN,MAD,,11.0,6.0,,5.0,,6.0,,206.0,24.0
2023-06-23-IND-MAD,2023-06-23,2023,9,,IND,MAD,,,,1.0,,,,,,
2023-07-01-MAD-IND,2023-07-01,2023,10,,MAD,IND,1.0,12.0,12.0,,,2.0,12.0,,29.0,31.0
2023-07-21-MAD-CHI,2023-07-21,2023,13,,MAD,CHI,2.0,10.0,6.0,,1.0,1.0,9.0,3.0,75.0,69.0
