game_id,date,season,week,league,away,home,def_int,def_tackles,gp,recv_rec,recv_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,,7.0,2.0,9.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,13.0,9.0,,
