game_id,date,season,week,league,away,home,2_pointer,3_pointer,4_pointer,assist,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,blockedShot,goals,goals_conceded,goals_conceded_minus_xg,goals_minus_xg,goals_per_xg,goals_plus_assists,headed_shot_share,key_passes,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,rebound,saves,shots,shots_faced,shots_on_target,steal,xa,xg,xg_faced,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
2660092,2024-06-15,2024,1,BIG3,ALIENS,3 HEADED MONSTERS,6.0,0.0,0.0,1.0,,,,,1.0,,,,,,,,,,,,,,,9.0,,,,,1.0,,,,,,,
soccer-uslc-2024-eVq3rNX5WO,,2024,1,USLC,,,,,,,0.0,0.0,33.8271,21.5868,,0.0,7.0,2.4636,0.0,1.5431,0.0,0.125,0.0,192.0,0.7231,65.0,-0.9291,-1.4294,0.0,,6.0,0.0,16.0,0.0,,0.0,0.0,4.5364,0.0,0.0,0.7374,0.0
