game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,defensive_tfl,forced_fumbles,fumble_recoveries,pass_defended,sacks,solo_tackles,tackles
FOOTBALL_AF1_2026_4_12_T606163G1168202@T584747,2026-04-12,2026,1,AF1,Michigan Arsenal,Kentucky Barrels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,2.0
FOOTBALL_AF1_2026_4_19_T612138G1168205@T584747,2026-04-19,2026,2,AF1,Oceanside Stealth,Kentucky Barrels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,3.0
FOOTBALL_AF1_2026_5_3_T584637G1168212@T584747,2026-05-03,2026,4,AF1,Nashville Kats,Kentucky Barrels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,,7.0
FOOTBALL_AF1_2026_5_17_T584761G1168220@T584747,2026-05-17,2026,6,AF1,Beaumont Renegades,Kentucky Barrels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,2.0
FOOTBALL_AF1_2026_5_24_T584747G1168383@T612138,2026-05-25,2026,7,AF1,Kentucky Barrels,Oceanside Stealth,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0
FOOTBALL_AF1_2026_5_30_T584747G1168388@T602555,2026-05-30,2026,8,AF1,Kentucky Barrels,Minnesota Monsters,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,5.0
FOOTBALL_AF1_2026_6_7_T584747G1168391@T584638,2026-06-07,2026,9,AF1,Kentucky Barrels,Oregon Lightning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,3.0
FOOTBALL_IFL_2026_7_12_TSANDIEGOSTRIKEFORCEG20260712LE28@TVEGASKNIGHTHAWKS,2026-07-12,2026,18,IFL,San Diego Strike Force,Vegas Knight Hawks,1.0,,,,,,,,,,0.0,1.0
FOOTBALL_IFL_2026_7_18_TNEWMEXICOCHUPACABRASG20260718EEFK@TSANDIEGOSTRIKEFORCE,2026-07-18,2026,19,IFL,New Mexico Chupacabras,San Diego Strike Force,1.0,,,,,,,,1.0,,2.0,3.0
FOOTBALL_IFL_2026_7_24_TTUCSONSUGARSKULLSG20260724I0UY@TSANDIEGOSTRIKEFORCE,2026-07-24,2026,20,IFL,Tucson Sugar Skulls,San Diego Strike Force,0.0,,,,,,,,,,2.0,2.0
