game_id,date,season,week,league,away,home,def_solo,def_tot,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_yds
FOOTBALL_CFL_2018_10_5_WPG@OTT,2018-10-05,2018,1,CFL,WPG,OTT,,,,,,,,,1.0,,,,
FOOTBALL_CFL_2018_11_18_WPG@CGY,2018-11-18,2018,1,CFL,WPG,CGY,,,27.0,1.0,1.0,3.0,27.0,,,,,,
FOOTBALL_CFL_2018_11_3_WPG@EDM,2018-11-03,2018,1,CFL,WPG,EDM,,,53.0,1.0,2.0,20.0,53.0,,,,,,
FOOTBALL_CFL_2018_6_22_WPG@MTL,2018-06-22,2018,1,CFL,WPG,MTL,,,53.0,2.0,2.0,7.0,64.0,,,,,,
FOOTBALL_CFL_2018_7_14_WPG@BC,2018-07-14,2018,1,CFL,WPG,BC,,,,,,,,,,,1.0,1.0,1.0
FOOTBALL_CFL_2018_8_25_WPG@CGY,2018-08-25,2018,1,CFL,WPG,CGY,,,5.0,1.0,1.0,1.0,5.0,,,,,,
FOOTBALL_CFL_2019_10_12_BC@EDM,2019-10-12,2019,1,CFL,BC,EDM,,,15.0,1.0,2.0,8.0,15.0,,,,,,
FOOTBALL_CFL_2019_10_18_SSK@BC,2019-10-18,2019,1,CFL,SSK,BC,,,18.0,2.0,2.0,1.0,27.0,,,,,,
FOOTBALL_CFL_2019_10_5_TOR@BC,2019-10-05,2019,1,CFL,TOR,BC,,,9.0,1.0,2.0,3.0,9.0,,,,,,
FOOTBALL_CFL_2019_11_2_CGY@BC,2019-11-02,2019,1,CFL,CGY,BC,1.0,1.0,,,,,,,,,,,
FOOTBALL_CFL_2019_7_20_BC@SSK,2019-07-20,2019,1,CFL,BC,SSK,,,,,,,,12.0,1.0,12.0,,,
FOOTBALL_CFL_2019_7_6_BC@TOR,2019-07-06,2019,1,CFL,BC,TOR,,,,,3.0,,,,,,,,
FOOTBALL_CFL_2019_9_28_MTL@BC,2019-09-28,2019,1,CFL,MTL,BC,,,2.0,1.0,1.0,,2.0,,,,,,
