game_id,date,season,week,league,away,home,3pt_pass,conversions,interceptions_lost,passing_tds,passing_yards,rushing_tds,rushing_yards
93,2026-04-05,2026,2,UFL,BIRMINGHAM STALLIONS,HOUSTON GAMBLERS,,,0.0,0.0,19.0,0.0,6.0
103,2026-04-24,2026,5,UFL,DC DEFENDERS,BIRMINGHAM STALLIONS,1.0,,2.0,2.0,313.0,1.0,43.0
110,2026-05-03,2026,6,UFL,BIRMINGHAM STALLIONS,ORLANDO STORM,,,0.0,1.0,271.0,0.0,12.0
113,2026-05-09,2026,7,UFL,DALLAS RENEGADES,BIRMINGHAM STALLIONS,,2.0,1.0,2.0,159.0,0.0,4.0
118,2026-05-17,2026,8,UFL,COLUMBUS AVIATORS,BIRMINGHAM STALLIONS,,,1.0,1.0,126.0,0.0,7.0
120,2026-05-23,2026,9,UFL,BIRMINGHAM STALLIONS,COLUMBUS AVIATORS,,,2.0,1.0,157.0,0.0,27.0
