game_id,date,season,week,league,away,home,1pt_conversion,conversions,lost_fumbles,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
FOOTBALL_XFL_2023_2_19_SEA@DC,2023-02-19,2023,1,XFL,SEA,DC,,,,,,,,28.0
FOOTBALL_XFL_2023_2_25_DC@VGS,2023-02-25,2023,2,XFL,VIPERS,DEFENDERS,,,1.0,,15.0,1.0,1.0,71.0
FOOTBALL_XFL_2023_3_5_STL@DC,2023-03-05,2023,3,XFL,DEFENDERS,BATTLEHAWKS,0.0,0.0,,,16.0,3.0,,54.0
FOOTBALL_XFL_2023_3_12_VGS@DC,2023-03-12,2023,4,XFL,DEFENDERS,VIPERS,,,,,6.0,1.0,,58.0
FOOTBALL_XFL_2023_3_18_DC@STL,2023-03-18,2023,5,XFL,DC,STL,,,,,-3.0,1.0,3.0,218.0
SYNTHETIC_XFL_2023_W5_DEFENDERS,2023-03-18,2023,5,XFL,BATTLEHAWKS,DEFENDERS,0.0,0.0,,,,,,
FOOTBALL_XFL_2023_3_27_HOU@DC,2023-03-27,2023,6,XFL,HOU,DC,,,,,10.0,2.0,1.0,95.0
FOOTBALL_XFL_2023_4_1_DC@ORL,2023-04-01,2023,7,XFL,DC,ORL,,,1.0,,,,1.0,127.0
FOOTBALL_XFL_2023_4_9_DC@SEA,2023-04-09,2023,8,XFL,DC,SEA,,,,,18.0,1.0,1.0,66.0
FOOTBALL_XFL_2023_4_16_ARL@DC,2023-04-16,2023,9,XFL,ARL,DC,,,,,29.0,3.0,,27.0
FOOTBALL_XFL_2023_4_22_DC@SA,2023-04-22,2023,10,XFL,DC,SA,,,,,,1.0,,44.0
46,2025-03-30,2025,1,UFL,DEFENDERS,STALLIONS,,,,0.0,0.0,0.0,0.0,37.0
48,2025-04-05,2025,2,UFL,DEFENDERS,SHOWBOATS,,,,0.0,15.0,1.0,0.0,55.0
54,2025-04-13,2025,3,UFL,BATTLEHAWKS,DEFENDERS,,,,0.0,14.0,1.0,0.0,52.0
57,2025-04-20,2025,4,UFL,DEFENDERS,BRAHMAS,,,,0.0,14.0,2.0,0.0,39.0
60,2025-04-27,2025,5,UFL,RENEGADES,DEFENDERS,1.0,,1.0,,,,0.0,9.0
63,2025-05-04,2025,6,UFL,PANTHERS,DEFENDERS,,,,0.0,0.0,0.0,0.0,11.0
65,2025-05-09,2025,7,UFL,BRAHMAS,DEFENDERS,,,,0.0,12.0,1.0,0.0,13.0
71,2025-05-18,2025,8,UFL,DEFENDERS,RENEGADES,,,,0.0,7.0,1.0,1.0,11.0
83,2025-05-25,2025,9,UFL,ROUGHNECKS,DEFENDERS,,,,0.0,13.0,1.0,0.0,14.0
75,2025-05-30,2025,10,UFL,DEFENDERS,BATTLEHAWKS,,,,0.0,7.0,1.0,0.0,43.0
88,2026-03-28,2026,1,UFL,DC DEFENDERS,ST. LOUIS BATTLEHAWKS,,,,,,,0.0,0.0
91,2026-04-03,2026,2,UFL,DC DEFENDERS,COLUMBUS AVIATORS,,,,,,,0.0,39.0
96,2026-04-11,2026,3,UFL,HOUSTON GAMBLERS,DC DEFENDERS,,,,,,,1.0,37.0
101,2026-04-18,2026,4,UFL,ST. LOUIS BATTLEHAWKS,DC DEFENDERS,,,,0.0,4.0,1.0,0.0,13.0
103,2026-04-24,2026,5,UFL,DC DEFENDERS,BIRMINGHAM STALLIONS,,,,,,,0.0,21.0
109,2026-05-02,2026,6,UFL,DALLAS RENEGADES,DC DEFENDERS,,,,,,,0.0,26.0
112,2026-05-09,2026,7,UFL,LOUISVILLE KINGS,DC DEFENDERS,,,,0.0,12.0,1.0,0.0,16.0
116,2026-05-16,2026,8,UFL,DC DEFENDERS,LOUISVILLE KINGS,,,,0.0,10.0,1.0,1.0,56.0
