game_id,date,season,week,league,away,home,assisted_tackles,completion_pct,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,fumble_recovery_yards,int_avg,int_long,int_yards,interceptions,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_incompletions,pass_long,pass_yards_per_attempt,passing_rate,passing_sacks,passing_td_pass,passing_td_pass_pct,passing_tds,passing_yards,passing_yds_lost,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,safeties,solo_tackles,tackles
FOOTBALL_NAL_2025_3_15_T425362G979253@T425356,2025-03-15,2025,2,NAL,Wheeling Miners,Carolina Cobras,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,19.0,40.0,0.0,2.0,94.0,5.0,3.0,11.0,14.0,0.0,1.0,42.0,0.0,0.0,,1.0
FOOTBALL_NAL_2025_3_21_T425356G979257@T434514,2025-03-21,2025,3,NAL,Carolina Cobras,Columbus Lions,,,,,,,,,,,,,,1.0,9.0,9.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,0.0,9.0,7.0,0.0,0.0,2.0,,,,
FOOTBALL_NAL_2025_3_28_T434514G979258@T425356,2025-03-28,2025,4,NAL,Columbus Lions,Carolina Cobras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.0,0.0,2.0,122.0,5.0,4.0,0.0,9.0,0.0,1.0,35.0,,,,
FOOTBALL_NAL_2025_4_5_T425362G979262@T425356,2025-04-05,2025,5,NAL,Wheeling Miners,Carolina Cobras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,0.0,0.0,0.0,51.0,4.0,2.0,0.0,7.0,0.0,0.0,14.0,,,,
FOOTBALL_NAL_2025_4_13_T425360G979263@T463723,2025-04-13,2025,6,NAL,Omaha Beef,Beaumont Renegades,,,,,,,,,,,,,,1.0,19.0,19.0,0.0,19.0,,,,,,,,,,,,,,,,,,,,5.0,10.0,2.0,0.0,0.0,10.0,,,,
FOOTBALL_NAL_2025_4_19_T425361G979267@T425360,2025-04-19,2025,7,NAL,Sioux City Bandits,Omaha Beef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,0.0,0.0,6.0,1.0,3.0,10.0,6.0,0.0,1.0,17.0,,,,
FOOTBALL_NAL_2025_5_10_T425360G979281@T425361,2025-05-11,2025,10,NAL,Omaha Beef,Sioux City Bandits,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,11.0,16.0,0.0,2.0,59.0,0.0,0.0,,3.0
FOOTBALL_IFL_2026_3_23_TNAZWRANGLERSG20260323WKQX@TSANDIEGOSTRIKEFORCE,2026-03-23,2026,2,IFL,NAZ Wranglers,San Diego Strike Force,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0
FOOTBALL_IFL_2026_3_28_TJACKSONVILLESHARKSG202603289OUR@TNAZWRANGLERS,2026-03-28,2026,3,IFL,Jacksonville Sharks,NAZ Wranglers,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0
FOOTBALL_NAL_2026_3_21_T566774G1127144@T600411,2026-03-21,2026,3,NAL,Omaha Beef,Salina Liberty,,417.0,,,,,,,,,,,0.0,,,,,,12.0,5.0,,7.0,28.0,14.0,101.0,3.0,2.0,167.0,,70.0,26.0,,,,,,,5.0,10.0,12.0,1.0,1.0,57.0,,,,
