game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_td,kr_yds,pass_att,pass_cmp,pass_int,pass_yds,pr_no,pr_td,pr_yds,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,6.0,7.0,1.0,235.0,,,,,14.0,1.0,265.0,30.0,6.0,506.0,3.0,1.0,60.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,12.0,13.0,,321.0,4.0,2.0,1.0,46.0,10.0,1.0,106.0,64.0,5.0,869.0,31.0,2.0,272.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,12.0,3.0,,104.0,,,,,14.0,3.0,361.0,57.0,9.0,754.0,58.0,6.0,548.0
