game_id,date,season,week,league,away,home,def_tackles,gp,kr_no,kr_yds,pass_att,pass_cmp,pass_int,pass_td,pass_yds,rush_att,rush_yds
FOOTBALL_ELF_2022_SEASON_TOTAL,,2022,1,ELF,,,,3.0,,,99.0,45.0,3.0,5.0,541.0,6.0,7.0
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,10.0,1.0,14.0,391.0,220.0,10.0,18.0,2482.0,12.0,4.0
FOOTBALL_ELF_2025_SEASON_TOTAL,,2025,1,ELF,,,,6.0,,,38.0,21.0,,1.0,218.0,3.0,25.0
