game_id,date,season,week,league,away,home,assists,blk,cto,games_played,goals,lb,penalty_minutes,pim,points,pp_assists,sh_goals,sog,to
NLL_2022_SEASON_TOTAL,,,1,,,,2.0,,,4.0,2.0,,2.0,,4.0,,1.0,,
NLL_2023_SEASON_TOTAL,,,1,,,,8.0,,,7.0,1.0,,,,9.0,1.0,,,
703332113,2025-10-29,2025,1,NLL,COLORADO,VANCOUVER,1.0,1.0,1.0,,0.0,1.0,,1.0,,,,1.0,1.0
