game_id,date,season,week,league,away,home,def_ff,def_fr,def_int,def_pd,def_sacks,def_tackles,gp,rush_att,rush_yds
FOOTBALL_ELF_2023_SEASON_TOTAL,,2023,1,ELF,,,1.0,1.0,1.0,2.0,1.5,102.0,12.0,1.0,1.0
FOOTBALL_ELF_2024_SEASON_TOTAL,,2024,1,ELF,,,1.0,1.0,1.0,1.0,2.0,146.0,12.0,,
