game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_lost,interceptions_made,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_yds,rushing_tds,rushing_yards,sacks,score_conv,score_pts,tackles
FOOTBALL_CFL_2022_10_10_OTT@MTL,2022-10-10,2022,1,CFL,OTT,MTL,,,,,,,,,,16.0,11.0,13.0,44.0,79.0,19.0,1.0,19.0,,,,,,,1.0,2.0,
FOOTBALL_CFL_2022_10_14_MTL@OTT,2022-10-14,2022,1,CFL,MTL,OTT,,,,,,,,,,20.0,8.0,12.0,66.0,93.0,,,,,,,,,,,,
FOOTBALL_CFL_2022_10_21_OTT@HAM,2022-10-21,2022,1,CFL,OTT,HAM,,,,,,,,,,12.0,5.0,5.0,27.0,34.0,,,,,,,,,,,,
FOOTBALL_CFL_2022_10_29_HAM@OTT,2022-10-29,2022,1,CFL,HAM,OTT,,,,,,,,,,14.0,6.0,9.0,33.0,45.0,,,,,,,,,,,,
FOOTBALL_CFL_2022_6_10_OTT@WPG,2022-06-10,2022,1,CFL,OTT,WPG,1.0,1.0,,,,,,,,9.0,2.0,6.0,12.0,16.0,,,,,,,,,,,,
FOOTBALL_CFL_2022_6_17_WPG@OTT,2022-06-17,2022,1,CFL,WPG,OTT,,,,,,,,,,17.0,7.0,9.0,,55.0,7.0,,7.0,1.0,5.0,5.0,,,,,,
FOOTBALL_CFL_2022_9_30_OTT@BC,2022-09-30,2022,1,CFL,OTT,BC,,,,,,,,,,35.0,5.0,7.0,25.0,94.0,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W1_OTT,,2022,1,CFL,,,,,,,,,0.0,16.0,2.0,,,,,,,,,,,,,,,,,
6273,2022-09-30,2022,17,CFL,OTT,BC,,,,,,,0.0,94.0,5.0,,,,,,,,,,,,,,,,,
6280,2022-10-14,2022,19,CFL,MTL,OTT,,,,,,,0.0,93.0,8.0,,,,,,,,,,,,,,,,,
6284,2022-10-21,2022,20,CFL,OTT,HAM,,,,,,,0.0,34.0,5.0,,,,,,,,,,,,,,,,,
9889285,2023-06-10,2023,1,CFL,OTT,MTL,,,,,,,0.0,27.0,4.0,,,,,,,,,,,,,,,,,
9889287,2023-06-15,2023,2,CFL,CGY,OTT,,,,,,,0.0,54.0,6.0,,,,,,,,,,,,,,,,,
9889295,2023-06-30,2023,4,CFL,EDM,OTT,,,,,,,0.0,18.0,3.0,,,,,,,,,,,,,,,,,
9889300,2023-07-08,2023,5,CFL,OTT,HAM,,,,,,,0.0,58.0,7.0,,,,,,,,,,,,,,,,,
9889304,2023-07-15,2023,6,CFL,WPG,OTT,,,,,,,0.0,80.0,5.0,,,,,,,,,,,,,,,,,
9889309,2023-07-23,2023,7,CFL,OTT,CGY,,,,,,,1.0,94.0,7.0,,,,,,,,,,,,,,,,,
9889310,2023-07-28,2023,8,CFL,HAM,OTT,,,,,,,0.0,65.0,5.0,,,,,,,,,,,,,,,,,
9889317,2023-08-06,2023,9,CFL,OTT,SSK,,,,,,,0.0,21.0,2.0,,,,,,,,,,,,,,,,,
9889321,2023-08-13,2023,10,CFL,OTT,TOR,,,,,,,1.0,62.0,7.0,,,,,,,,,,,,,,,,,
9889324,2023-08-19,2023,11,CFL,MTL,OTT,,,,,,,0.0,37.0,5.0,,,,,,,,,,,,,,,,,
9889329,2023-08-27,2023,12,CFL,OTT,EDM,,,,,,,0.0,31.0,4.0,,,,,,,,,,,,,,,,,
9889334,2023-09-08,2023,14,CFL,HAM,OTT,,,0.0,,0.0,0.0,0.0,29.0,2.0,,,,,,,,,,,,,,,,,
9889341,2023-09-16,2023,15,CFL,OTT,BC,,,,,,,0.0,114.0,8.0,,,,,,,,,,,,,,,,,
9889342,2023-09-22,2023,16,CFL,SSK,OTT,,,,0.0,,,0.0,54.0,5.0,,,,,,,,,,,,,,0.0,,,1.0
9889348,2023-09-30,2023,17,CFL,MTL,OTT,,,,,,,0.0,45.0,4.0,,,,,,,,,,,,,,,,,
9889353,2023-10-09,2023,18,CFL,OTT,MTL,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
9889357,2023-10-14,2023,19,CFL,OTT,TOR,,,,,,,0.0,98.0,5.0,,,,,,,,,,,,,,,,,
9889363,2023-10-28,2023,21,CFL,TOR,OTT,,,,,,,1.0,119.0,6.0,,,,,,,,,,,,,,,,,
10798143,2024-05-25,2024,2,CFL,OTT,HAM,,,,,,,1.0,111.0,7.0,,,,,,,,,,,,,,,,,
10798024,2024-06-20,2024,3,CFL,OTT,MTL,,,,,,,0.0,143.0,7.0,,,,,,,,,,,,0.0,16.0,,,,
10798031,2024-06-30,2024,4,CFL,HAM,OTT,,,,,,,1.0,74.0,5.0,,,,,,,,,,,,0.0,1.0,,,,
10798033,2024-07-05,2024,5,CFL,OTT,WPG,,,,,,,0.0,43.0,3.0,,,,,,,,,,,,,,,,,
10798039,2024-07-14,2024,6,CFL,OTT,EDM,,,,,,,1.0,110.0,5.0,,,,,,,,,,,,0.0,7.0,,,,
10798040,2024-07-19,2024,7,CFL,EDM,OTT,,,,,,,0.0,61.0,5.0,,,,,,,,,,,,0.0,2.0,,,,
10798045,2024-07-26,2024,8,CFL,CGY,OTT,,,,,,,0.0,65.0,7.0,,,,,,,,,,,,0.0,28.0,,,,
10798052,2024-08-08,2024,10,CFL,SSK,OTT,,,,,,,0.0,54.0,4.0,,,,,,,,,,,,,,,,,
10798056,2024-08-15,2024,11,CFL,OTT,CGY,,,,,,,0.0,29.0,4.0,,,,,,,,,,,,,,,,,
10798062,2024-08-24,2024,12,CFL,BC,OTT,,,,,,,0.0,114.0,11.0,,,,,,,,,,,,,,,,,
10798064,2024-08-31,2024,13,CFL,OTT,BC,,,,,,,0.0,49.0,4.0,,,,,,,,,,,,,,,,,
10798069,2024-09-07,2024,14,CFL,TOR,OTT,,,,,,,0.0,57.0,6.0,,,,,,,,,,,,,,,,,
10798073,2024-09-14,2024,15,CFL,OTT,HAM,,,0.0,,0.0,0.0,0.0,103.0,8.0,,,,,,,,,,,,0.0,7.0,,,,
10798077,2024-09-21,2024,16,CFL,MTL,OTT,,,,,,,1.0,117.0,9.0,,,,,,,,,,,,0.0,8.0,,,,
10798081,2024-09-28,2024,17,CFL,OTT,SSK,,,,,,,0.0,111.0,5.0,,,,,,,,,,,,,,,,,
10798091,2024-10-19,2024,20,CFL,OTT,TOR,,,,,,,1.0,102.0,7.0,,,,,,,,,,,,0.0,7.0,,,,
11824045,2025-06-05,2025,1,CFL,OTT,SSK,,,,,,,1.0,133.0,8.0,,,,,,,,,,,,,,,,,
11824050,2025-06-13,2025,2,CFL,MTL,OTT,,,,,,,0.0,20.0,2.0,,,,,,,,,,,,,,,,,
11824055,2025-06-21,2025,3,CFL,OTT,CGY,,,,,,,0.0,5.0,1.0,,,,,,,,,,,,,,,,,
11824060,2025-06-29,2025,4,CFL,TOR,OTT,,,,,,,0.0,43.0,4.0,,,,,,,,,,,,,,,,,
11824064,2025-07-06,2025,5,CFL,OTT,EDM,,,,,,,0.0,45.0,5.0,,,,,,,,,,,,0.0,11.0,,,,
11824066,2025-07-12,2025,6,CFL,OTT,HAM,,,,,,,0.0,68.0,6.0,,,,,,,,,,,,,,,,,
11824071,2025-07-20,2025,7,CFL,HAM,OTT,,,1.0,,0.0,0.0,0.0,47.0,7.0,,,,,,,,,,,,,,,,,
11824076,2025-07-31,2025,9,CFL,CGY,OTT,,,,,,,2.0,62.0,4.0,,,,,,,,,,,,,,,,,
11824082,2025-08-09,2025,10,CFL,OTT,TOR,,,,,,,2.0,106.0,7.0,,,,,,,,,,,,,,,,,
11824084,2025-08-14,2025,11,CFL,OTT,WPG,,,,,,,1.0,48.0,2.0,,,,,,,,,,,,,,,,,
11824089,2025-08-22,2025,12,CFL,EDM,OTT,,,,,,,0.0,38.0,2.0,,,,,,,,,,,,,,,,,
11824095,2025-09-05,2025,14,CFL,BC,OTT,,,0.0,,0.0,0.0,0.0,64.0,4.0,,,,,,,,,,,,,,,,,
11824100,2025-09-12,2025,15,CFL,OTT,BC,,,,,,,1.0,100.0,9.0,,,,,,,,,,,,0.0,2.0,,,,
11824105,2025-09-20,2025,16,CFL,WPG,OTT,,,,,,,,101.0,7.0,,,,,,,,,,,,,,,,,
11824111,2025-10-03,2025,18,CFL,SSK,OTT,,,,,,,1.0,57.0,5.0,,,,,,,,,,,,,,,,,
11824117,2025-10-13,2025,19,CFL,OTT,MTL,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,5.0,,,,
11824120,2025-10-18,2025,20,CFL,MTL,OTT,,,,,,,0.0,31.0,2.0,,,,,,,,,,,,,,,,,
11824122,2025-10-24,2025,21,CFL,OTT,HAM,,,,,,,0.0,51.0,3.0,,,,,,,,,,,,,,,,,
